,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,-197.4457022618483,197.4457022618483,131.66554022053234,85.98969257493864
Transformer Max Power (kW),-18.697079842056144,95.25533377677084,181.27787074967463,95.10891128019786
EV Spawn Multiplier,-105.59669346312744,109.42486764424602,136.37366124021224,79.62783938908093
EV Charge Efficiency,-206.09249005842406,301.96784548656626,378.95285298266174,181.4810875703836
EV Discharge Efficiency,11.119657025413872,165.46288119755542,305.7375170419275,138.03411368336663
EV Desired Capacity (%),-0.4399028887871566,116.26346321064686,159.1008393854843,61.7063354319426
Discharge Price Factor,-29.322620732446673,235.77747515982455,336.6113350388428,134.19926174811036
Inflexible Loads Forecast Mean,-68.65248243531855,114.9554637114754,230.8859818584312,117.08843960510032
Solar Power Forecast Mean,-65.97355934693515,184.4670042639078,256.85000888786783,105.1115791315103
