Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
AFAP,Discharge Price Factor,0.5,24.0,0.0,-51.010137801574814,0.0,746.0688461838126,0.0,0.0,0.0,1.0,0.0,805.9270773108439,0.0,101792.35001129021,0.0,477.81466793493604,0.0,99.99891774891775,0.0,0.005190293856398383,0.0,99.97402597402598,0.0,0.0,0.0,448.5619995491705,0.0,187.76381488704266,0.0,26.64531593513616,0.0,0.008891907617320578,0.0,0.0014903436190787714,0.0,0.007401563998241805,0.0,-36470.52257827275,0.0,0.0,0.0,0.05021166801452637,0.0,6.242229144184659e-05,0.0,0.0003110811228607644,0.0,-2.31864262734431,0.0
ALAP,Discharge Price Factor,0.5,24.0,0.0,-60.27111364854389,0.0,409.91198506890237,0.0,0.0,0.0,0.8401682143616377,0.0,737.5658829666068,0.0,267334.9114654214,0.0,779.7909318777275,0.0,76.4246478870156,0.0,12.420845528657514,0.0,57.64578833693306,0.0,0.0,0.0,171.27064988505597,0.0,122.87999999999997,0.0,14.639713752460798,0.0,0.0033382175587484304,0.0,0.0006720425328515366,0.0,0.0026661750258968934,0.0,-5274.360167611176,0.0,0.0,0.0,0.030242443084716797,0.0,2.8636063228402824e-05,0.0,0.00011012363634910968,0.0,-2.739596074933813,0.0
RR,Discharge Price Factor,0.5,24.0,0.0,-34.281547494935886,0.0,366.57297377328774,0.0,0.0,0.0,0.7981586546945207,0.0,0.0,0.0,99590.71554217061,0.0,454.34700169003895,0.0,73.72791042066258,0.0,18.942187066336142,0.0,41.38961038961039,0.0,0.0,0.0,61.014356406076146,0.0,60.05999999999999,0.0,13.091891920474561,0.0,0.0034376669570265507,0.0,0.0009243531483107609,0.0,0.00251331380871579,0.0,-2129.426544686827,0.0,0.0,0.0,0.029562950134277344,0.0,3.880601376373582e-05,0.0,0.00010493900454927316,0.0,-1.558252158860722,0.0
SAC,Discharge Price Factor,0.5,24.0,0.0,-16.66883331122167,0.0,320.7242741560182,0.0,364.2606041112434,0.0,0.4770893040101099,0.0,53.770436708296025,0.0,379661.63972017536,0.0,891.3415237726994,0.0,45.43695510982764,0.0,34.94842392388643,0.0,12.987012987012985,0.0,10.0,0.0,3.2273546432615916,0.0,36.67913592612861,0.0,-1.554868926972328,0.0,0.0060638377551392305,0.0,0.0004739379303001873,0.0,0.005589899824839045,0.0,-25.46127671034952,0.0,0.0,0.0,0.13829994201660156,0.0,1.981470574503614e-05,0.0,0.00023418985010541425,0.0,-0.7576742414191667,0.0
DDPG,Discharge Price Factor,0.5,24.0,0.0,-11.476786028316994,0.0,316.28908307937917,0.0,365.55,0.0,0.4600863855429537,0.0,0.0,0.0,350745.68933055334,0.0,870.1808923839477,0.0,44.74002578111692,0.0,39.12891792585779,0.0,12.987012987012985,0.0,11.0,0.0,1.9793595851767236,0.0,23.18990913543427,0.0,-1.7593184614507433,0.0,0.006377091031353663,0.0,0.0005470752015423196,0.0,0.005830015829811344,0.0,-28.641545826604588,0.0,0.0,0.0,0.12846708297729492,0.0,2.280527917133596e-05,0.0,0.00024505218676096265,0.0,-0.521672092196227,0.0
DDPG+PER,Discharge Price Factor,0.5,24.0,0.0,-23.587569542158295,0.0,418.85991194369115,0.0,280.40250000000003,0.0,0.5937344280013876,0.0,0.0,0.0,206561.19069377435,0.0,682.4625635196356,0.0,58.43501626904263,0.0,41.60379067560551,0.0,12.987012987012985,0.0,8.0,0.0,33.20512179124454,0.0,48.820535855280816,0.0,4.9449075694175395,0.0,0.006815209059904201,0.0,0.0007109197646238111,0.0,0.006104289295280391,0.0,-391.2435251157689,0.0,0.0,0.0,0.11858129501342773,0.0,2.9727900718539432e-05,0.0,0.00025689290499337456,0.0,-1.0721622519162861,0.0
TQC,Discharge Price Factor,0.5,24.0,0.0,-5.127013343073504,0.0,458.5174254863308,0.0,577.9896435768591,0.0,0.4391598702119847,0.0,35.11813070139696,0.0,437672.3876514074,0.0,957.9512589045535,0.0,41.44010027951309,0.0,32.2302895111449,0.0,12.987012987012985,0.0,9.0,0.0,70.28328214384221,0.0,95.15664872698925,0.0,-4.266864931804575,0.0,0.008952738991392145,0.0,0.0006196926481133829,0.0,0.008333046343278763,0.0,-1636.8244369649515,0.0,0.0,0.0,0.12149286270141602,0.0,2.559071922273661e-05,0.0,0.0003465249541927089,0.0,-0.23304606104879563,0.0
Online_MPC_NonAdaptive,Discharge Price Factor,0.5,24.0,0.0,-0.6551737884231059,0.0,59.87297805978257,0.0,101.8674769635013,0.0,0.5106501313851012,0.0,0.0,0.0,332096.979019728,0.0,862.9144743670453,0.0,45.958511824659105,0.0,20.33843241462275,0.0,17.391304347826086,0.0,1.0,0.0,0.053247447306826956,0.0,17.496519732245247,0.0,-1.499803532275669,0.0,0.001665447229895305,0.0,0.0005789811135424282,0.0,0.001086466116352877,0.0,-6.112430527458194,0.0,0.0,0.0,9.727174758911133,0.0,2.4077114046177294e-05,0.0,4.5453238285687955e-05,0.0,-0.029780626746504814,0.0
Online_MPC_Adaptive,Discharge Price Factor,0.5,24.0,0.0,0.8263315879662252,0.0,23.22536303450802,0.0,99.4957597674319,0.0,0.4782317048808134,0.0,0.0,0.0,367064.73950302164,0.0,897.1903721962508,0.0,43.04085343927321,0.0,20.839202073582268,0.0,17.391304347826086,0.0,2.0,0.0,0.6616212868011964,0.0,17.968504586585215,0.0,-2.723942740461567,0.0,0.001340543196362977,0.0,0.0005045436822090672,0.0,0.0008359995141539097,0.0,-4.882369864280162,0.0,0.0,0.0,14.776484251022339,0.0,2.097667375487979e-05,0.0,3.4849535414842085e-05,0.0,0.03756052672573751,0.0
AFAP,Discharge Price Factor,0.8,23.0,0.0,-219.68677202785818,0.0,576.1383165579233,0.0,0.0,0.0,0.9954374664519593,0.0,954.0895640613695,0.0,124986.24999541407,0.0,525.8878395987537,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,663.0044306659906,0.0,160.71038573075225,0.0,20.73927969151608,0.0,0.0072579913397667175,0.0,0.0015192241812391628,0.0,0.005738767158527555,0.0,-8381.294796693095,0.0,0.0,0.0,0.10051345825195312,0.0,6.630374247827032e-05,0.0,0.000251599201472925,0.0,-7.5754059319951095,0.0
ALAP,Discharge Price Factor,0.8,23.0,0.0,-131.20228515975168,0.0,333.28374963612987,0.0,0.0,0.0,0.875470687705733,0.0,500.97074727126056,0.0,113665.20469794581,0.0,542.1829981254926,0.0,81.82672440603365,0.0,13.102287439313093,0.0,61.419753086419746,0.0,0.0,0.0,547.4986463250843,0.0,87.20501304208605,0.0,11.99723174399563,0.0,0.0031024285879013985,0.0,0.0008600721299729565,0.0,0.0022423564579284417,0.0,-3647.1032184996457,0.0,0.0,0.0,0.1329505443572998,0.0,3.794085063081526e-05,0.0,9.658684798481025e-05,0.0,-4.52421672964661,0.0
RR,Discharge Price Factor,0.8,23.0,0.0,-90.27926992044952,0.0,255.01196927622544,0.0,0.0,0.0,0.799528033152585,0.0,0.0,0.0,56995.72704876272,0.0,369.9694048497669,0.0,75.84692098554945,0.0,20.593884381518528,0.0,46.0,0.0,0.0,0.0,402.55135901422045,0.0,40.578754335117715,0.0,9.17967856590602,0.0,0.002903253219126484,0.0,0.0010124503345577299,0.0,0.001890802884568754,0.0,-171.92528801216227,0.0,0.0,0.0,0.15684938430786133,0.0,4.424801652867148e-05,0.0,8.222676384205173e-05,0.0,-3.113078273118949,0.0
SAC,Discharge Price Factor,0.8,23.0,0.0,-40.64813059340577,0.0,475.2815763462477,0.0,411.7485684639592,0.0,0.6535637689379555,0.0,63.0531265930845,0.0,141334.49670363052,0.0,592.974929540246,0.0,63.31948858174021,0.0,35.87285206587031,0.0,15.432098765432102,0.0,6.0,0.0,311.5725457491041,0.0,57.721367717415205,0.0,2.2870008507438118,0.0,0.007418673162235641,0.0,0.0009297025136602938,0.0,0.006488970648575349,0.0,-57.93920572517993,0.0,0.0,0.0,0.22157835960388184,0.0,4.0426306368377704e-05,0.0,0.00028386869194717377,0.0,-1.4016596756346815,0.0
