,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,-62.8423721329429,75.55241865526882,83.62828205926978,45.703225399578734
Transformer Max Power (kW),11.576336491240749,73.19055003029315,133.90958920066728,66.18811071625987
EV Spawn Multiplier,-12.00859216648075,72.71073491552002,109.5108958122934,44.20605762248649
EV Charge Efficiency,16.711019819105505,80.91786043720478,118.97058740952589,55.367798268331605
EV Discharge Efficiency,-23.500723316555945,58.27154725425099,112.85165737703258,58.90623218908342
EV Desired Capacity (%),-56.84015723293885,99.48812818070496,182.93996568165792,101.35607154134841
Discharge Price Factor,162.87378250669818,163.56083681041247,134.5975921161788,80.52203255348145
Inflexible Loads Forecast Mean,47.47648333836549,71.9684303970677,91.53751258337857,48.53687712807798
Solar Power Forecast Mean,-25.11329734660584,35.54489397648956,45.04409920977035,20.230375673398548
