,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,15.6387279147026,147.29488974821135,202.34303731867826,79.74937624497086
Transformer Max Power (kW),50.38797170349456,89.69026600156548,144.99414064110897,68.1858939295245
EV Spawn Multiplier,31.804979441529944,60.15662152944894,76.25018420107601,29.79133425788437
EV Charge Efficiency,-0.005066106409576321,131.76768086754223,221.52129746006148,96.00666151828771
EV Discharge Efficiency,110.58624443764259,214.06574269227494,329.49733102348074,155.4808459024756
EV Desired Capacity (%),-3.764446003758016,82.02949110246638,142.5474029288155,61.09892372571546
Discharge Price Factor,206.33055759730942,206.33055759730942,200.26390713636647,111.79711499127947
Inflexible Loads Forecast Mean,-27.531177901648267,77.51948474823692,86.84990258128501,25.81298188802124
Solar Power Forecast Mean,-35.02144300827223,74.85821273348068,82.55763909993148,25.41605091676802
