Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_evs_spawned_mean,total_evs_spawned_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
ALAP,Transformer Max Power (kW),50,11.0,0.0,11.0,0.0,-37.12837964284442,0.0,150.68899019082707,0.0,0.0,0.0,0.8179067366266406,0.0,111.91787991041505,0.0,17989.995468711124,0.0,196.72561251272668,0.0,81.79067366266405,0.0,13.140196515325005,0.0,57.64578833693306,0.0,0.0,0.0,0.0,0.0,79.9205644961499,0.0,10.861426009565028,0.0,0.0012947098702038252,0.0,0.0004273758437744722,0.0,0.000867334026429353,0.0,-34.03156309229767,0.0,0.0,0.0,0.023342370986938477,0.0,3.934982303099792e-05,0.0,7.867991219750598e-05,0.0,-3.375307240258584,0.0
RR,Transformer Max Power (kW),50,11.0,0.0,11.0,0.0,-29.72233227992168,0.0,135.85009004513216,0.0,0.0,0.0,0.796672897165833,0.0,0.0,0.0,10645.856715506869,0.0,155.60557270321408,0.0,79.6672897165833,0.0,18.43882026137091,0.0,51.589506172839506,0.0,0.0,0.0,0.0,0.0,39.960282248075025,0.0,9.791861366576269,0.0,0.001450908771603868,0.0,0.0005052514416195011,0.0,0.0009456573299843667,0.0,-28.452046899167982,0.0,0.0,0.0,0.0480954647064209,0.0,4.618982487170606e-05,0.0,8.649251933619723e-05,0.0,-2.7020302072656075,0.0
SAC,Transformer Max Power (kW),50,11.0,0.0,11.0,0.0,17.153749269916673,0.0,127.58522188423748,0.0,223.3443226749024,0.0,0.4671738167211909,0.0,4.500649499388314,0.0,71744.00710642978,0.0,389.4650882887055,0.0,46.71738167211909,0.0,34.502678568328214,0.0,12.987012987012985,0.0,6.0,0.0,0.0,0.0,39.295014536185526,0.0,-6.902165756523862,0.0,0.0026496472606938196,0.0,0.0002422090651689566,0.0,0.0024074381955248637,0.0,17.618020311001303,0.0,0.0,0.0,0.09564781188964844,0.0,2.201655093373227e-05,0.0,0.00022038915217109696,0.0,1.5594317518106067,0.0
DDPG,Transformer Max Power (kW),50,11.0,0.0,11.0,0.0,41.61310226815371,0.0,41.12244498232162,0.0,245.41000000000003,0.0,0.3128460912750587,0.0,0.0,0.0,99149.51331513182,0.0,495.7432177660246,0.0,31.284609127505863,0.0,32.4175938565904,0.0,12.987012987012985,0.0,7.0,0.0,0.0,0.0,13.441185847079772,0.0,-14.724726475966046,0.0,0.0024993470795850498,0.0,0.000161979635369566,0.0,0.0023373674442154838,0.0,-1929.16916625367,0.0,0.0,0.0,0.0631406307220459,0.0,1.458213821349438e-05,0.0,0.0002140035010084044,0.0,3.7830092971048828,0.0
DDPG+PER,Transformer Max Power (kW),50,11.0,0.0,11.0,0.0,-19.37375844904317,0.0,177.41107252055616,0.0,103.19500000000001,0.0,0.6973225929122981,0.0,94.21917788514874,0.0,30747.351067737716,0.0,264.34917917036455,0.0,69.73225929122981,0.0,39.967914401671266,0.0,15.432098765432102,0.0,2.0,0.0,0.0,0.0,53.401468095154755,0.0,5.349378075874865,0.0,0.003097240771221726,0.0,0.0004749556757145288,0.0,0.0026222850955071974,0.0,-17.19762228556836,0.0,0.0,0.0,0.07928061485290527,0.0,4.326630440917322e-05,0.0,0.00024037142843257283,0.0,-1.7612507680948335,0.0
TQC,Transformer Max Power (kW),50,11.0,0.0,11.0,0.0,29.875715062826938,0.0,113.25088681718184,0.0,285.98547224744857,0.0,0.3272123289897601,0.0,58.8428544224007,0.0,102359.44356493864,0.0,493.6116753898135,0.0,32.72123289897601,0.0,19.34367853944204,0.0,15.432098765432102,0.0,8.0,0.0,0.0,0.0,66.50236865779759,0.0,-12.450437928927991,0.0,0.0025038132857911717,0.0,0.00012663782031707615,0.0,0.0023771754654740955,0.0,25.765886122629958,0.0,0.0,0.0,0.07952165603637695,0.0,1.1458519877927472e-05,0.0,0.0002172762134230989,0.0,2.7159740966206307,0.0
Online_MPC_NonAdaptive,Transformer Max Power (kW),50,11.0,0.0,11.0,0.0,18.669021001939036,0.0,37.948412340315386,0.0,123.09500000000001,0.0,0.47811653222379175,0.0,0.0,0.0,48725.93871261495,0.0,376.6022504080308,0.0,47.811653222379185,0.0,26.178810268498147,0.0,16.280864197530867,0.0,3.0,0.0,0.0,0.0,12.063411640609104,0.0,-6.137232459129611,0.0,0.0015657871141106347,0.0,0.0003443668048506472,0.0,0.0012214203092599874,0.0,14.505271260805811,0.0,0.0,0.0,9.153327226638794,0.0,3.115047367435414e-05,0.0,0.00011134770843710988,0.0,1.6971837274490034,0.0
Online_MPC_Adaptive,Transformer Max Power (kW),50,11.0,0.0,11.0,0.0,21.62402851550126,0.0,20.591505701879772,0.0,123.11500000000001,0.0,0.4454833729081328,0.0,0.0,0.0,54072.925632120685,0.0,393.97915704646636,0.0,44.54833729081327,0.0,20.987357385404497,0.0,20.07716049382716,0.0,3.0,0.0,0.0,0.0,6.148377305494831,0.0,-7.389732628448396,0.0,0.0012468211570161117,0.0,0.00031508307079801,0.0,0.0009317380862181017,0.0,17.447077928945664,0.0,0.0,0.0,10.868192434310913,0.0,2.84587707332634e-05,0.0,8.479474966588539e-05,0.0,1.9658207741364782,0.0
AFAP,Transformer Max Power (kW),100,11.0,0.0,11.0,0.0,-58.59944423683912,0.0,271.8943838341439,0.0,0.0,0.0,0.999635241301908,0.0,420.52997149834556,0.0,23884.644079119505,0.0,229.82626466337518,0.0,99.9635241301908,0.0,0.11534682823285118,0.0,99.59876543209877,0.0,0.0,0.0,0.0,0.0,60.184062186338885,0.0,9.79886031717066,0.0,0.0034705511127789104,0.0,0.0007067880038570002,0.0,0.00276376310892191,0.0,-58.59944423683907,0.0,0.0,0.0,0.10028576850891113,0.0,6.451579935649997e-05,0.0,0.00025366626891345096,0.0,-5.32722220334901,0.0
ALAP,Transformer Max Power (kW),100,11.0,0.0,11.0,0.0,-37.12837964284442,0.0,150.68899019082707,0.0,0.0,0.0,0.8179067366266406,0.0,111.91787991041505,0.0,17989.995468711124,0.0,196.72561251272668,0.0,81.79067366266405,0.0,13.140196515325005,0.0,57.64578833693306,0.0,0.0,0.0,0.0,0.0,39.96028224807495,0.0,5.430713004782514,0.0,0.0012947098702038252,0.0,0.0004273758437744722,0.0,0.000867334026429353,0.0,-34.03156309229767,0.0,0.0,0.0,0.07996153831481934,0.0,3.934982303099792e-05,0.0,7.867991219750598e-05,0.0,-3.375307240258584,0.0
RR,Transformer Max Power (kW),100,11.0,0.0,11.0,0.0,-29.72233227992168,0.0,135.85009004513216,0.0,0.0,0.0,0.796672897165833,0.0,0.0,0.0,10645.856715506869,0.0,155.60557270321408,0.0,79.6672897165833,0.0,18.43882026137091,0.0,51.589506172839506,0.0,0.0,0.0,0.0,0.0,19.980141124037512,0.0,4.895930683288134,0.0,0.001450908771603868,0.0,0.0005052514416195011,0.0,0.0009456573299843667,0.0,-28.452046899167982,0.0,0.0,0.0,0.1120150089263916,0.0,4.618982487170606e-05,0.0,8.649251933619723e-05,0.0,-2.7020302072656075,0.0
SAC,Transformer Max Power (kW),100,11.0,0.0,11.0,0.0,10.368225731246374,0.0,152.5231234043074,0.0,213.37321500923184,0.0,0.5107722372579944,0.0,9.899999999999999,0.0,53205.333884754546,0.0,357.25575435327085,0.0,51.07722372579943,0.0,34.998050081707134,0.0,15.432098765432102,0.0,6.0,0.0,0.0,0.0,23.04960481965973,0.0,-2.1929895701244577,0.0,0.0032871933244861475,0.0,0.00030216881082572694,0.0,0.0029850245136604204,0.0,10.849943993314831,0.0,0.0,0.0,0.15990138053894043,0.0,2.7495330703631096e-05,0.0,0.00027184320488066345,0.0,0.9425659755678523,0.0
DDPG,Transformer Max Power (kW),100,11.0,0.0,11.0,0.0,41.61310226815371,0.0,41.12244498232162,0.0,245.41000000000003,0.0,0.3128460912750587,0.0,0.0,0.0,99149.51331513182,0.0,495.7432177660246,0.0,31.284609127505863,0.0,32.4175938565904,0.0,12.987012987012985,0.0,7.0,0.0,0.0,0.0,6.720592923539886,0.0,-7.362363237983023,0.0,0.0024993470795850498,0.0,0.000161979635369566,0.0,0.0023373674442154838,0.0,36.287859609812244,0.0,0.0,0.0,0.11417555809020996,0.0,1.458213821349438e-05,0.0,0.0002140035010084044,0.0,3.7830092971048828,0.0
DDPG+PER,Transformer Max Power (kW),100,11.0,0.0,11.0,0.0,-19.37375844904317,0.0,177.41107252055616,0.0,103.19500000000001,0.0,0.6973225929122981,0.0,94.21917788514874,0.0,30747.351067737716,0.0,264.34917917036455,0.0,69.73225929122981,0.0,39.967914401671266,0.0,15.432098765432102,0.0,2.0,0.0,0.0,0.0,26.700734047577377,0.0,2.6746890379374326,0.0,0.003097240771221726,0.0,0.0004749556757145288,0.0,0.0026222850955071974,0.0,-17.19762228556836,0.0,0.0,0.0,0.1289360523223877,0.0,4.326630440917322e-05,0.0,0.00024037142843257283,0.0,-1.7612507680948335,0.0
TQC,Transformer Max Power (kW),100,11.0,0.0,11.0,0.0,18.822609821297522,0.0,129.88945638396171,0.0,239.30435234937988,0.0,0.434326424284518,0.0,3.307959832161938,0.0,81862.04588107171,0.0,402.52453862984544,0.0,43.43264242845179,0.0,31.414222662563407,0.0,12.987012987012985,0.0,6.0,0.0,0.0,0.0,26.13689448989063,0.0,-3.943227024640937,0.0,0.002761841010188212,0.0,0.0001739803748865015,0.0,0.0025878606353017105,0.0,20.315446418548987,0.0,0.0,0.0,0.16964411735534668,0.0,1.591780590607346e-05,0.0,0.0002371108912108809,0.0,1.7111463473906838,0.0
Online_MPC_NonAdaptive,Transformer Max Power (kW),100,11.0,0.0,11.0,0.0,18.596448231704308,0.0,38.8480683510921,0.0,123.78,0.0,0.47776166117665325,0.0,0.0,0.0,48693.40182263542,0.0,376.387594397254,0.0,47.77616611766532,0.0,26.262697643545454,0.0,15.679012345679014,0.0,3.0,0.0,0.0,0.0,6.036377084735143,0.0,-3.060880195314369,0.0,0.0015779518587117048,0.0,0.00034423401875233834,0.0,0.0012337178399593664,0.0,14.450616461760058,0.0,0.0,0.0,8.360062837600708,0.0,3.113898980748067e-05,0.0,0.0001125178499342756,0.0,1.6905862028822098,0.0
Online_MPC_Adaptive,Transformer Max Power (kW),100,11.0,0.0,11.0,0.0,21.469303504410643,0.0,20.66628041370349,0.0,122.50500000000001,0.0,0.4492841062814435,0.0,0.0,0.0,53900.80951551872,0.0,393.29438233464265,0.0,44.92841062814435,0.0,21.261806652837898,0.0,22.332613390928728,0.0,4.0,0.0,0.0,0.0,3.0574835131386453,0.0,-3.6701875707530403,0.0,0.0012712321087849586,0.0,0.00031517748776042995,0.0,0.0009560546210245287,0.0,17.427742015038792,0.0,0.0,0.0,10.166175603866577,0.0,2.8472809828198347e-05,0.0,8.702157038450358e-05,0.0,1.9517548640373312,0.0
AFAP,Transformer Max Power (kW),200,11.0,0.0,11.0,0.0,-58.59944423683912,0.0,271.8943838341439,0.0,0.0,0.0,0.999635241301908,0.0,420.52997149834556,0.0,23884.644079119505,0.0,229.82626466337518,0.0,99.9635241301908,0.0,0.11534682823285118,0.0,99.59876543209877,0.0,0.0,0.0,0.0,0.0,30.092031093169442,0.0,4.89943015858533,0.0,0.0034705511127789104,0.0,0.0007067880038570002,0.0,0.00276376310892191,0.0,-58.59944423683907,0.0,0.0,0.0,0.09506845474243164,0.0,6.451579935649997e-05,0.0,0.00025366626891345096,0.0,-5.32722220334901,0.0
ALAP,Transformer Max Power (kW),200,11.0,0.0,11.0,0.0,-37.12837964284442,0.0,150.68899019082707,0.0,0.0,0.0,0.8179067366266406,0.0,111.91787991041505,0.0,17989.995468711124,0.0,196.72561251272668,0.0,81.79067366266405,0.0,13.140196515325005,0.0,57.64578833693306,0.0,0.0,0.0,0.0,0.0,19.980141124037473,0.0,2.715356502391257,0.0,0.0012947098702038252,0.0,0.0004273758437744722,0.0,0.000867334026429353,0.0,-34.03156309229767,0.0,0.0,0.0,0.09543395042419434,0.0,3.934982303099792e-05,0.0,7.867991219750598e-05,0.0,-3.375307240258584,0.0
RR,Transformer Max Power (kW),200,11.0,0.0,11.0,0.0,-29.72233227992168,0.0,135.85009004513216,0.0,0.0,0.0,0.796672897165833,0.0,0.0,0.0,10645.856715506869,0.0,155.60557270321408,0.0,79.6672897165833,0.0,18.43882026137091,0.0,51.589506172839506,0.0,0.0,0.0,0.0,0.0,9.990070562018756,0.0,2.447965341644067,0.0,0.001450908771603868,0.0,0.0005052514416195011,0.0,0.0009456573299843667,0.0,-28.452046899167982,0.0,0.0,0.0,0.07921719551086426,0.0,4.618982487170606e-05,0.0,8.649251933619723e-05,0.0,-2.7020302072656075,0.0
SAC,Transformer Max Power (kW),200,11.0,0.0,11.0,0.0,-7.585609384148662,0.0,205.82211049100553,0.0,156.1022052037497,0.0,0.6689938936255779,0.0,85.70211054482738,0.0,33997.575535501426,0.0,284.5868127335042,0.0,66.89938936255777,0.0,38.63239618066066,0.0,15.432098765432102,0.0,4.0,0.0,0.0,0.0,23.340437585807425,0.0,0.8959331929231141,0.0,0.003478067153440839,0.0,0.00044933991468230406,0.0,0.0030287272387585352,0.0,-11.721757484650695,0.0,0.0,0.0,0.22165441513061523,0.0,4.09568646149176e-05,0.0,0.0002784077522282985,0.0,-0.6896008531044239,0.0
DDPG,Transformer Max Power (kW),200,11.0,0.0,11.0,0.0,41.61310226815371,0.0,41.12244498232162,0.0,245.41000000000003,0.0,0.3128460912750587,0.0,0.0,0.0,99149.51331513182,0.0,495.7432177660246,0.0,31.284609127505863,0.0,32.4175938565904,0.0,12.987012987012985,0.0,7.0,0.0,0.0,0.0,3.360296461769943,0.0,-3.6811816189915114,0.0,0.0024993470795850498,0.0,0.000161979635369566,0.0,0.0023373674442154838,0.0,36.287859609812244,0.0,0.0,0.0,0.1906583309173584,0.0,1.458213821349438e-05,0.0,0.0002140035010084044,0.0,3.7830092971048828,0.0
DDPG+PER,Transformer Max Power (kW),200,11.0,0.0,11.0,0.0,-19.37375844904317,0.0,177.41107252055616,0.0,103.19500000000001,0.0,0.6973225929122981,0.0,94.21917788514874,0.0,30747.351067737716,0.0,264.34917917036455,0.0,69.73225929122981,0.0,39.967914401671266,0.0,15.432098765432102,0.0,2.0,0.0,0.0,0.0,13.350367023788689,0.0,1.3373445189687163,0.0,0.003097240771221726,0.0,0.0004749556757145288,0.0,0.0026222850955071974,0.0,-17.19762228556836,0.0,0.0,0.0,0.11758995056152344,0.0,4.326630440917322e-05,0.0,0.00024037142843257283,0.0,-1.7612507680948335,0.0
TQC,Transformer Max Power (kW),200,11.0,0.0,11.0,0.0,12.584978055327978,0.0,136.24506171480516,0.0,224.35080655648616,0.0,0.46360564231598195,0.0,41.97836612963079,0.0,89549.3373261704,0.0,400.5505906548426,0.0,46.36056423159819,0.0,37.20356288826556,0.0,12.987012987012985,0.0,5.0,0.0,0.0,0.0,11.015835934501293,0.0,-1.5876309666082469,0.0,0.002975772930399583,0.0,0.00021721509202801733,0.0,0.002758557838371566,0.0,14.682283352058475,0.0,0.0,0.0,0.22133827209472656,0.0,1.979737951467351e-05,0.0,0.0002516784092914191,0.0,1.1440889141207253,0.0
Online_MPC_NonAdaptive,Transformer Max Power (kW),200,11.0,0.0,11.0,0.0,18.32061793875033,0.0,37.999158380567735,0.0,121.75,0.0,0.48148223633662235,0.0,0.0,0.0,48531.0273031578,0.0,375.20650436777845,0.0,48.14822363366224,0.0,26.085803181429554,0.0,13.857142857142858,0.0,3.0,0.0,0.0,0.0,3.0181885423675716,0.0,-1.5091573185544458,0.0,0.001556839429872845,0.0,0.0003446869810963189,0.0,0.0012121524487765261,0.0,14.288680573788454,0.0,0.0,0.0,9.860663414001465,0.0,3.1181111001296085e-05,0.0,0.00011043813884103753,0.0,1.6655107217045755,0.0
Online_MPC_Adaptive,Transformer Max Power (kW),200,11.0,0.0,11.0,0.0,22.706822668005245,0.0,20.40795099400938,0.0,127.47500000000001,0.0,0.4419419608339872,0.0,0.0,0.0,54972.25026514672,0.0,398.5227117543368,0.0,44.19419608339871,0.0,22.09035983741286,0.0,21.003086419753085,0.0,4.0,0.0,0.0,0.0,0.04914840415298706,0.0,-1.9293062309469076,0.0,0.0012401224963603347,0.0,0.00031069900217426267,0.0,0.0009294234941860721,0.0,18.487160294594716,0.0,0.0,0.0,10.048211812973022,0.0,2.8059192174006814e-05,0.0,8.467054920074063e-05,0.0,2.064256606182295,0.0
AFAP,Transformer Max Power (kW),400,11.0,0.0,11.0,0.0,-58.59944423683912,0.0,271.8943838341439,0.0,0.0,0.0,0.999635241301908,0.0,420.52997149834556,0.0,23884.644079119505,0.0,229.82626466337518,0.0,99.9635241301908,0.0,0.11534682823285118,0.0,99.59876543209877,0.0,0.0,0.0,0.0,0.0,15.046015546584721,0.0,2.449715079292665,0.0,0.0034705511127789104,0.0,0.0007067880038570002,0.0,0.00276376310892191,0.0,-58.59944423683907,0.0,0.0,0.0,0.03176236152648926,0.0,6.451579935649997e-05,0.0,0.00025366626891345096,0.0,-5.32722220334901,0.0
ALAP,Transformer Max Power (kW),400,11.0,0.0,11.0,0.0,-37.12837964284442,0.0,150.68899019082707,0.0,0.0,0.0,0.8179067366266406,0.0,111.91787991041505,0.0,17989.995468711124,0.0,196.72561251272668,0.0,81.79067366266405,0.0,13.140196515325005,0.0,57.64578833693306,0.0,0.0,0.0,0.0,0.0,9.990070562018737,0.0,1.3576782511956285,0.0,0.0012947098702038252,0.0,0.0004273758437744722,0.0,0.000867334026429353,0.0,-34.03156309229767,0.0,0.0,0.0,0.04817795753479004,0.0,3.934982303099792e-05,0.0,7.867991219750598e-05,0.0,-3.375307240258584,0.0
RR,Transformer Max Power (kW),400,11.0,0.0,11.0,0.0,-29.72233227992168,0.0,135.85009004513216,0.0,0.0,0.0,0.796672897165833,0.0,0.0,0.0,10645.856715506869,0.0,155.60557270321408,0.0,79.6672897165833,0.0,18.43882026137091,0.0,51.589506172839506,0.0,0.0,0.0,0.0,0.0,4.995035281009378,0.0,1.2239826708220336,0.0,0.001450908771603868,0.0,0.0005052514416195011,0.0,0.0009456573299843667,0.0,-28.452046899167982,0.0,0.0,0.0,0.03130459785461426,0.0,4.618982487170606e-05,0.0,8.649251933619723e-05,0.0,-2.7020302072656075,0.0
SAC,Transformer Max Power (kW),400,11.0,0.0,11.0,0.0,-5.308535041020402,0.0,189.74601453521282,0.0,154.87364850188888,0.0,0.645171077760783,0.0,11.30661909510078,0.0,30489.824085137592,0.0,262.2366062625727,0.0,64.51710777607829,0.0,39.59093582940083,0.0,15.432098765432102,0.0,4.0,0.0,0.0,0.0,6.5004071951391875,0.0,0.3141931794168936,0.0,0.0036271594787771954,0.0,0.000488109702531563,0.0,0.003139049776245632,0.0,-10.011066428194805,0.0,0.0,0.0,0.08398079872131348,0.0,4.432916546548946e-05,0.0,0.0002868787684279392,0.0,-0.4825940946382184,0.0
