Algorithm,scenario_name,total_ev_served_mean,total_ev_served_std,total_evs_spawned_mean,total_evs_spawned_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
ALAP,Critic_2,11.0,0.0,11.0,0.0,-37.12837964284442,0.0,150.68899019082707,0.0,0.0,0.0,0.8179067366266406,0.0,111.91787991041505,0.0,17989.995468711124,0.0,196.72561251272668,0.0,81.79067366266405,0.0,13.140196515325005,0.0,57.64578833693306,0.0,0.0,0.0,0.0,0.0,39.96028224807495,0.0,5.430713004782514,0.0,0.0012947098702038252,0.0,0.0004273758437744722,0.0,0.000867334026429353,0.0,-34.03156309229767,0.0,0.0,0.0,0.0303957462310791,0.0,3.934982303099792e-05,0.0,7.867991219750598e-05,0.0,-3.375307240258584,0.0
RR,Critic_2,11.0,0.0,11.0,0.0,-29.72233227992168,0.0,135.85009004513216,0.0,0.0,0.0,0.796672897165833,0.0,0.0,0.0,10645.856715506869,0.0,155.60557270321408,0.0,79.6672897165833,0.0,18.43882026137091,0.0,51.589506172839506,0.0,0.0,0.0,0.0,0.0,19.980141124037512,0.0,4.895930683288134,0.0,0.001450908771603868,0.0,0.0005052514416195011,0.0,0.0009456573299843667,0.0,-28.452046899167982,0.0,0.0,0.0,0.04041790962219238,0.0,4.618982487170606e-05,0.0,8.649251933619723e-05,0.0,-2.7020302072656075,0.0
SAC,Critic_2,11.0,0.0,11.0,0.0,10.368225731246374,0.0,152.5231234043074,0.0,213.37321500923184,0.0,0.5107722372579944,0.0,9.899999999999999,0.0,53205.333884754546,0.0,357.25575435327085,0.0,51.07722372579943,0.0,34.998050081707134,0.0,15.432098765432102,0.0,6.0,0.0,0.0,0.0,23.04960481965973,0.0,-2.1929895701244577,0.0,0.0032871933244861475,0.0,0.00030216881082572694,0.0,0.0029850245136604204,0.0,10.849943993314831,0.0,0.0,0.0,0.11137127876281738,0.0,2.7495330703631096e-05,0.0,0.00027184320488066345,0.0,0.9425659755678523,0.0
DDPG,Critic_2,11.0,0.0,11.0,0.0,41.61310226815371,0.0,41.12244498232162,0.0,245.41000000000003,0.0,0.3128460912750587,0.0,0.0,0.0,99149.51331513182,0.0,495.7432177660246,0.0,31.284609127505863,0.0,32.4175938565904,0.0,12.987012987012985,0.0,7.0,0.0,0.0,0.0,6.720592923539886,0.0,-7.362363237983023,0.0,0.0024993470795850498,0.0,0.000161979635369566,0.0,0.0023373674442154838,0.0,36.287859609812244,0.0,0.0,0.0,0.1070852279663086,0.0,1.458213821349438e-05,0.0,0.0002140035010084044,0.0,3.7830092971048828,0.0
DDPG+PER,Critic_2,11.0,0.0,11.0,0.0,-19.37375844904317,0.0,177.41107252055616,0.0,103.19500000000001,0.0,0.6973225929122981,0.0,94.21917788514874,0.0,30747.351067737716,0.0,264.34917917036455,0.0,69.73225929122981,0.0,39.967914401671266,0.0,15.432098765432102,0.0,2.0,0.0,0.0,0.0,26.700734047577377,0.0,2.6746890379374326,0.0,0.003097240771221726,0.0,0.0004749556757145288,0.0,0.0026222850955071974,0.0,-17.19762228556836,0.0,0.0,0.0,0.12682271003723145,0.0,4.326630440917322e-05,0.0,0.00024037142843257283,0.0,-1.7612507680948335,0.0
TQC,Critic_2,11.0,0.0,11.0,0.0,18.822609821297522,0.0,129.88945638396171,0.0,239.30435234937988,0.0,0.434326424284518,0.0,3.307959832161938,0.0,81862.04588107171,0.0,402.52453862984544,0.0,43.43264242845179,0.0,31.414222662563407,0.0,12.987012987012985,0.0,6.0,0.0,0.0,0.0,26.13689448989063,0.0,-3.943227024640937,0.0,0.002761841010188212,0.0,0.0001739803748865015,0.0,0.0025878606353017105,0.0,20.315446418548987,0.0,0.0,0.0,0.12066173553466797,0.0,1.591780590607346e-05,0.0,0.0002371108912108809,0.0,1.7111463473906838,0.0
Online_MPC_NonAdaptive,Critic_2,11.0,0.0,11.0,0.0,18.596448231704308,0.0,38.8480683510921,0.0,123.78,0.0,0.47776166117665325,0.0,0.0,0.0,48693.40182263542,0.0,376.387594397254,0.0,47.77616611766532,0.0,26.262697643545454,0.0,15.679012345679014,0.0,3.0,0.0,0.0,0.0,6.036377084735143,0.0,-3.060880195314369,0.0,0.0015779518587117048,0.0,0.00034423401875233834,0.0,0.0012337178399593664,0.0,14.450616461760058,0.0,0.0,0.0,7.705281019210815,0.0,3.113898980748067e-05,0.0,0.0001125178499342756,0.0,1.6905862028822098,0.0
Online_MPC_Adaptive,Critic_2,11.0,0.0,11.0,0.0,21.469303504410643,0.0,20.66628041370349,0.0,122.50500000000001,0.0,0.4492841062814435,0.0,0.0,0.0,53900.80951551872,0.0,393.29438233464265,0.0,44.92841062814435,0.0,21.261806652837898,0.0,22.332613390928728,0.0,4.0,0.0,0.0,0.0,3.0574835131386453,0.0,-3.6701875707530403,0.0,0.0012712321087849586,0.0,0.00031517748776042995,0.0,0.0009560546210245287,0.0,17.427742015038792,0.0,0.0,0.0,8.53810429573059,0.0,2.8472809828198347e-05,0.0,8.702157038450358e-05,0.0,1.9517548640373312,0.0
AFAP,Realistic,14.0,0.0,14.0,0.0,-60.96196885704885,0.0,289.6012186074513,0.0,0.0,0.0,1.0,0.0,526.9099301458537,0.0,37920.329475896215,0.0,285.5069405501436,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,79.52999999999997,0.0,10.34290066455183,0.0,0.003977422118569367,0.0,0.0008816121549890609,0.0,0.003095809963580306,0.0,-60.961968857048845,0.0,0.0,0.0,0.047197818756103516,0.0,6.315431024546895e-05,0.0,0.00022239849866534142,0.0,-4.354426346932061,0.0
ALAP,Realistic,14.0,0.0,14.0,0.0,-40.699511717109864,0.0,171.57716429535486,0.0,0.0,0.0,0.9209868775207691,0.0,294.67015500188603,0.0,39738.42381368629,0.0,287.41110729025627,0.0,85.54091872477966,0.0,12.107581875742,0.0,64.3448275862069,0.0,0.0,0.0,0.0,0.0,78.09966019858841,0.0,6.127755867691244,0.0,0.0017893761451202833,0.0,0.0005483418860386496,0.0,0.0012410342590816338,0.0,-40.09884496675329,0.0,0.0,0.0,0.04715991020202637,0.0,3.964692312919559e-05,0.0,8.819129711829292e-05,0.0,-2.9071079797935617,0.0
RR,Realistic,14.0,0.0,14.0,0.0,-30.686304379000063,0.0,145.94649592004572,0.0,0.0,0.0,0.876449194198286,0.0,0.0,0.0,14479.297678778916,0.0,165.70669816462234,0.0,82.48356056738564,0.0,19.896871278150932,0.0,47.65217391304348,0.0,0.0,0.0,0.0,0.0,22.012437274866716,0.0,5.212374854287347,0.0,0.0018436354404127585,0.0,0.0006348632872900685,0.0,0.0012087721531226898,0.0,-30.521892595586603,0.0,0.0,0.0,0.031800031661987305,0.0,4.5570304419274015e-05,0.0,8.662113602516553e-05,0.0,-2.1918788842142902,0.0
SAC,Realistic,14.0,0.0,14.0,0.0,37.342615543588124,0.0,104.20575953415715,0.0,300.1615167075656,0.0,0.46911241983358704,0.0,18.53662978759313,0.0,117338.58485780383,0.0,516.877266151873,0.0,43.64868921359425,0.0,33.945353096547585,0.0,15.432098765432102,0.0,6.0,0.0,0.0,0.0,6.262918358166355,0.0,-6.998419899050303,0.0,0.0032654058461528985,0.0,0.0003384512916456071,0.0,0.002926954554507291,0.0,36.62519666303846,0.0,0.0,0.0,0.1266465187072754,0.0,2.4002206945904784e-05,0.0,0.0002089719849510614,0.0,2.667329681684866,0.0
DDPG,Realistic,14.0,0.0,14.0,0.0,39.634237246878,0.0,89.8232764680917,0.0,292.65500000000003,0.0,0.4209278899470326,0.0,0.0,0.0,114959.1280185903,0.0,514.4849176165765,0.0,40.74065295237579,0.0,37.50786339838683,0.0,15.432098765432102,0.0,7.0,0.0,0.0,0.0,0.0,0.0,-7.2439901261395825,0.0,0.00322892893937825,0.0,0.00033793907937726544,0.0,0.002890989860000984,0.0,37.06515234497199,0.0,0.0,0.0,0.10029292106628418,0.0,2.3936952655914125e-05,0.0,0.00020715100715492114,0.0,2.8310169462055716,0.0
DDPG+PER,Realistic,14.0,0.0,14.0,0.0,17.954841447110244,0.0,106.73428171591453,0.0,207.45000000000002,0.0,0.5377006047800922,0.0,45.598834245895254,0.0,91242.97353629905,0.0,435.1683294917011,0.0,52.67876871592258,0.0,41.00594509361603,0.0,15.432098765432102,0.0,6.0,0.0,0.0,0.0,10.023811010529716,0.0,-3.5969899387173374,0.0,0.0030962935261148673,0.0,0.00043255851417489574,0.0,0.002663735011939971,0.0,17.369565737508353,0.0,0.0,0.0,0.11064648628234863,0.0,3.0802697770138653e-05,0.0,0.00019170381379350347,0.0,1.2824886747935889,0.0
TQC,Realistic,14.0,0.0,14.0,0.0,22.419916892459764,0.0,156.09279871450167,0.0,283.8707774160123,0.0,0.5179257993550563,0.0,35.640833867982565,0.0,102248.57920655108,0.0,457.25158972016993,0.0,48.912429084812224,0.0,34.08853722383941,0.0,15.625,0.0,7.0,0.0,0.0,0.0,36.4510361824371,0.0,-4.563499239339665,0.0,0.0032545759153506486,0.0,0.0003058643019589837,0.0,0.002948711613391665,0.0,24.698154392420108,0.0,0.0,0.0,0.12672066688537598,0.0,2.1875960746514828e-05,0.0,0.00021217700911885899,0.0,1.6014226351756975,0.0
Online_MPC_NonAdaptive,Realistic,14.0,0.0,14.0,0.0,16.43912160391869,0.0,43.8090254560749,0.0,118.53,0.0,0.6195461067079119,0.0,0.0,0.0,58867.63076722691,0.0,386.3741686285932,0.0,55.91807266367681,0.0,28.460385599127846,0.0,17.24137931034483,0.0,3.0,0.0,0.0,0.0,7.893655094887722,0.0,-2.668606233711611,0.0,0.0015509426037870922,0.0,0.0004642018428066231,0.0,0.0010867407609804695,0.0,13.537911624966025,0.0,0.0,0.0,9.6704261302948,0.0,3.301571915983689e-05,0.0,7.769756283957807e-05,0.0,1.1742229717084778,0.0
Online_MPC_Adaptive,Realistic,14.0,0.0,14.0,0.0,17.976701879285656,0.0,20.06696866403434,0.0,107.305,0.0,0.5985935265608537,0.0,0.0,0.0,67311.75276662793,0.0,398.8912254206337,0.0,54.26152089576784,0.0,27.75685785593406,0.0,17.24137931034483,0.0,3.0,0.0,0.0,0.0,2.4725607062099217,0.0,-3.115643976284488,0.0,0.0012180055531951879,0.0,0.0004356418113267499,0.0,0.000782363741868438,0.0,16.45217193007809,0.0,0.0,0.0,10.621604204177856,0.0,3.0991356030993534e-05,0.0,5.633064485364095e-05,0.0,1.2840501342346897,0.0
AFAP,Realistic_load,17.0,0.0,17.0,0.0,-88.60100006854603,0.0,420.53592514942665,0.0,0.0,0.0,1.0,0.0,642.8144236133153,0.0,59823.80064092561,0.0,358.8277072933132,0.0,99.99797160243408,0.0,0.00811359026369353,0.0,99.9655172413793,0.0,0.0,0.0,5.763192853047059,0.0,105.09813724243486,0.0,15.019140183908094,0.0,0.005427711114545784,0.0,0.0010426794482918088,0.0,0.004385031666253976,0.0,-136.48457871958234,0.0,0.0,0.0,0.05892801284790039,0.0,6.157978599853355e-05,0.0,0.0002599491007534266,0.0,-5.211823533443884,0.0
ALAP,Realistic_load,17.0,0.0,17.0,0.0,-57.46427969284441,0.0,239.788990190827,0.0,0.0,0.0,0.8905094606618291,0.0,246.65215238239838,0.0,55549.26517243231,0.0,341.49350663645436,0.0,82.32311576858658,0.0,12.533216418924189,0.0,57.64578833693306,0.0,0.0,0.0,0.0,0.0,59.399999999999956,0.0,8.56389250681525,0.0,0.002041432927860366,0.0,0.0005981268596986613,0.0,0.0014433060681617047,0.0,-53.812836214145136,0.0,0.0,0.0,0.036107540130615234,0.0,3.570823854251649e-05,0.0,8.492510299991298e-05,0.0,-3.3802517466379065,0.0
RR,Realistic_load,17.0,0.0,17.0,0.0,-44.88219631000791,0.0,209.54143732132178,0.0,0.0,0.0,0.8469757654788674,0.0,0.0,0.0,26728.06806995885,0.0,248.41498331476035,0.0,79.53926480412949,0.0,17.10203360060444,0.0,47.65217391304348,0.0,0.0,0.0,0.0,0.0,29.70000000000001,0.0,7.483622761475776,0.0,0.0021904650463819347,0.0,0.0007247292189445909,0.0,0.0014657358274373436,0.0,-43.08998806191237,0.0,0.0,0.0,0.03744339942932129,0.0,4.288169169496884e-05,0.0,8.651618283065628e-05,0.0,-2.640129194706348,0.0
SAC,Realistic_load,17.0,0.0,17.0,0.0,11.55718471645403,0.0,253.88610695946093,0.0,320.1204752086197,0.0,0.5553619431291466,0.0,0.0,0.0,133391.47111330388,0.0,524.190788885241,0.0,52.099198922543906,0.0,34.329387241305255,0.0,15.432098765432102,0.0,9.0,0.0,0.0,0.0,38.464505843656966,0.0,-2.365513151755671,0.0,0.004743095203366918,0.0,0.0003890400538277071,0.0,0.004354055149539211,0.0,9.53872210074068,0.0,0.0,0.0,0.12415432929992676,0.0,2.2964947045589515e-05,0.0,0.00025771335371270373,0.0,0.6798343950855311,0.0
DDPG,Realistic_load,17.0,0.0,17.0,0.0,58.91228573819912,0.0,109.29741148805027,0.0,403.72,0.0,0.3273120078867532,0.0,0.0,0.0,236851.7986903504,0.0,752.3790091480316,0.0,31.222786592160727,0.0,31.85919447559794,0.0,12.987012987012985,0.0,12.0,0.0,0.0,0.0,0.05612241466776303,0.0,-10.515092446855347,0.0,0.004185457953378056,0.0,0.00022031862485649714,0.0,0.003965139328521559,0.0,39.09259428826707,0.0,0.0,0.0,0.10998058319091797,0.0,1.2807314827367075e-05,0.0,0.0002359646159167028,0.0,3.465428572835242,0.0
DDPG+PER,Realistic_load,17.0,0.0,17.0,0.0,2.9013285148339705,0.0,199.05851979552446,0.0,240.40500000000006,0.0,0.5673523605015376,0.0,31.668424276495557,0.0,128071.38651899285,0.0,515.1371129788054,0.0,55.76556640051363,0.0,41.71404492768987,0.0,12.987012987012985,0.0,7.0,0.0,0.0,0.0,13.064667808684243,0.0,-1.4766600073026976,0.0,0.004418636086655403,0.0,0.0005465435170516798,0.0,0.0038720925696037237,0.0,3.4340670822652064,0.0,0.0,0.0,0.11199331283569336,0.0,3.2118479566385816e-05,0.0,0.0002298485674275617,0.0,0.17066638322552768,0.0
TQC,Realistic_load,17.0,0.0,17.0,0.0,65.2981946995116,0.0,43.66562118052664,0.0,380.11762049810915,0.0,0.28792465307719234,0.0,0.0,0.0,300790.595332921,0.0,794.4084199536644,0.0,26.499425673499037,0.0,21.401472610202745,0.0,15.432098765432102,0.0,11.0,0.0,0.0,0.0,24.95899286611698,0.0,-12.016142832770807,0.0,0.0032287243766387723,0.0,0.00016129898170668064,0.0,0.0030674253949320917,0.0,50.18180538133598,0.0,0.0,0.0,0.1259162425994873,0.0,9.321688978827631e-06,0.0,0.00018185811580044074,0.0,3.8410702764418585,0.0
Online_MPC_NonAdaptive,Realistic_load,17.0,0.0,17.0,0.0,12.749248548822854,0.0,66.53182660487141,0.0,123.24000000000001,0.0,0.6004182259614536,0.0,0.0,0.0,96669.9866428458,0.0,514.6645940312108,0.0,54.037640336530835,0.0,23.962715072104622,0.0,16.280864197530867,0.0,4.0,0.0,0.0,0.0,12.226752882041065,0.0,-2.0252919069688784,0.0,0.0017206786954783592,0.0,0.0005276954448820874,0.0,0.0011929832505962715,0.0,7.355040139891441,0.0,0.0,0.0,7.660041332244873,0.0,3.094991984541276e-05,0.0,7.037694411359535e-05,0.0,0.7499557969895796,0.0
Online_MPC_Adaptive,Realistic_load,17.0,0.0,17.0,0.0,18.64574578821547,0.0,33.304826248698845,0.0,122.26500000000001,0.0,0.5654057922260598,0.0,0.0,0.0,113363.69383496174,0.0,546.9165943873834,0.0,50.88652130034537,0.0,21.307658609624887,0.0,14.636363636363637,0.0,3.0,0.0,0.0,0.0,5.467661527989832,0.0,-3.1771490625464702,0.0,0.0016247960303066241,0.0,0.0004915505586999147,0.0,0.0011332454716067096,0.0,12.287109085702031,0.0,0.0,0.0,9.042200803756714,0.0,2.8795503474093204e-05,0.0,6.675709857282696e-05,0.0,1.0968085757773807,0.0
AFAP,V2GProfitMax,16.0,0.0,16.0,0.0,-98.6953790347602,0.0,464.67299778112334,0.0,0.0,0.0,1.0,0.0,643.1303946214376,0.0,61677.66935543796,0.0,368.077344041621,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.2028706277353756,0.0,103.17647115693744,0.0,16.595464206468687,0.0,0.005380781954359334,0.0,0.0009551547777394808,0.0,0.004425627176619852,0.0,-90.83786435547302,0.0,0.0,0.0,0.03561735153198242,0.0,6.0016677824146525e-05,0.0,0.00027940089732436104,0.0,-6.168461189672512,0.0
ALAP,V2GProfitMax,16.0,0.0,16.0,0.0,-55.74511486058628,0.0,249.53542286274165,0.0,0.0,0.0,0.7754081549970567,0.0,311.2271314305753,0.0,85570.29307100765,0.0,417.2632873645714,0.0,77.54081549970567,0.0,14.493132759047201,0.0,61.419753086419746,0.0,0.0,0.0,0.0,0.0,92.84999999999997,0.0,8.911979387955059,0.0,0.0021974015555746205,0.0,0.00046551839222826316,0.0,0.0017318831633463573,0.0,-47.68367686194968,0.0,0.0,0.0,0.030701160430908203,0.0,2.968143302658526e-05,0.0,0.00010659499673146276,0.0,-3.4840696787866423,0.0
RR,V2GProfitMax,16.0,0.0,16.0,0.0,-44.35094039018081,0.0,212.90012308846192,0.0,0.0,0.0,0.7416935519184733,0.0,0.0,0.0,42032.09612467276,0.0,298.28502142356353,0.0,74.16935519184733,0.0,22.133326031290853,0.0,44.078125,0.0,0.0,0.0,0.0,0.0,36.36000000000001,0.0,7.603575824587925,0.0,0.0020839653006791536,0.0,0.000590803707270342,0.0,0.001493161593408812,0.0,-42.65014216930518,0.0,0.0,0.0,0.035286664962768555,0.0,3.720590172674897e-05,0.0,9.30820850827328e-05,0.0,-2.7719337743863006,0.0
SAC,V2GProfitMax,16.0,0.0,16.0,0.0,-39.16320895826955,0.0,326.11219210254836,0.0,142.32515097129522,0.0,0.7020009361139696,0.0,121.72877853691284,0.0,71402.71710205376,0.0,388.2624926492289,0.0,70.20009361139697,0.0,35.03210532480838,0.0,16.867283950617285,0.0,3.0,0.0,0.0,0.0,43.94409264483005,0.0,6.563822897544753,0.0,0.00424392294064911,0.0,0.000526568488505577,0.0,0.0037173544521435327,0.0,-37.7501511020303,0.0,0.0,0.0,0.11730051040649414,0.0,3.317000934608109e-05,0.0,0.00023258231636473682,0.0,-2.447700559891847,0.0
DDPG,V2GProfitMax,16.0,0.0,16.0,0.0,-7.790778922749376,0.0,193.0373532080447,0.0,153.3025,0.0,0.5371524127707464,0.0,0.0,0.0,99245.64913521492,0.0,471.4502913039808,0.0,53.71524127707465,0.0,40.85339427561788,0.0,15.432098765432102,0.0,4.0,0.0,0.0,0.0,22.379999999999974,0.0,1.4191019002873078,0.0,0.003446914595219127,0.0,0.000461539351162816,0.0,0.0029853752440563114,0.0,-10.55636234580997,0.0,0.0,0.0,0.09638738632202148,0.0,2.8869995491329114e-05,0.0,0.00018844021404186757,0.0,-0.486923682671836,0.0
DDPG+PER,V2GProfitMax,16.0,0.0,16.0,0.0,6.354255055452843,0.0,157.83012856409016,0.0,179.395,0.0,0.48319353428175027,0.0,0.0,0.0,116524.80545837987,0.0,532.7500159479353,0.0,48.31935342817502,0.0,40.072516834805256,0.0,15.432098765432102,0.0,5.0,0.0,0.0,0.0,35.76445939385063,0.0,-0.7701739798539242,0.0,0.0032063239487036214,0.0,0.0003660206350548873,0.0,0.0028403033136487335,0.0,0.36360480495455216,0.0,0.0,0.0,0.08302855491638184,0.0,2.286560109209206e-05,0.0,0.0001775358593265338,0.0,0.3971409409658027,0.0
