,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,37.333384465931076,115.20678958180456,163.65870182382827,78.33558975898744
Transformer Max Power (kW),-42.7563684589862,115.67640908769513,198.22818526489942,79.10156967612564
EV Spawn Multiplier,-20.578847887802436,71.14305911913138,95.68969205474824,40.907848202618965
EV Charge Efficiency,95.64502329808079,164.73810381233358,249.50204184093633,112.73414773053368
EV Discharge Efficiency,2.232794402503648,61.32669967982912,85.20273835925158,33.647195480205724
EV Desired Capacity (%),-29.308091333814765,85.48283181090605,118.32351696496148,50.56070063869511
Discharge Price Factor,374.4375001896549,376.9997721270191,406.54658481239744,248.05705273086627
Inflexible Loads Forecast Mean,73.21895461430582,191.47634696635802,395.3943610291675,175.63362337553983
Solar Power Forecast Mean,7.020678400245009,40.358815269357834,52.71256349623102,18.247118541466307
