,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,-1.8507828756821643,36.28920753006476,47.69228518688416,18.27105050436016
Transformer Max Power (kW),31.610278975866787,54.081194231610105,74.77083800355945,39.323988613859335
EV Spawn Multiplier,16.741791188148706,57.386241078567025,94.9111623268386,46.32110424559819
EV Charge Efficiency,6.201761309644776,33.41809092576818,55.51735561594779,26.246118079928593
EV Discharge Efficiency,-6.004032454521665,28.038374942121106,49.69858725803203,27.57721459836091
EV Desired Capacity (%),-29.738271677443777,36.75291774634334,57.00478768326491,32.950471590234606
Discharge Price Factor,113.95529694626437,113.95529694626437,110.48159976419329,63.72622038217206
Inflexible Loads Forecast Mean,-1.5980550890765257,45.09688608254214,73.11375972180093,30.167080623262475
Solar Power Forecast Mean,-37.220764552947784,56.91500032921249,102.27960535281308,48.52239219691784
