,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,19.7543452717538,130.7848172122801,161.32321993653488,43.60014466213927
Transformer Max Power (kW),-9.887110155212213,86.80425623831489,126.32971780954915,56.11882170706765
EV Spawn Multiplier,9.018291773770367,36.2488245910596,49.07970984069079,19.304945430157613
EV Charge Efficiency,-28.172412414342325,32.018711731163606,29.01306803892984,13.892084239929602
EV Discharge Efficiency,50.513643664053525,61.41233185529205,95.28846659505784,57.12402305106919
EV Desired Capacity (%),-94.15866340537963,139.45158699361735,228.80813785988437,126.19551829053495
Discharge Price Factor,73.95331179457547,115.05036027330729,169.54396426318007,83.58626299731397
Inflexible Loads Forecast Mean,-20.53651777719147,62.09493916528462,105.42705340374091,50.25256808392556
Solar Power Forecast Mean,25.465437354593675,45.78176981441297,51.19204638034654,16.548301888901324
