,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,44.18271441049694,98.58948125565283,142.40885734371693,62.44485548505594
Transformer Max Power (kW),25.41975165971633,41.12998855236659,65.93524398182984,34.59623890620125
EV Spawn Multiplier,31.407911635213157,55.88379133514595,67.65133388607927,27.71180725592059
EV Charge Efficiency,9.269069240225377,39.99854642784679,60.23380429832376,24.597623252560915
EV Discharge Efficiency,-14.86749071956,93.31064102497494,154.6627328666472,63.980614184835716
EV Desired Capacity (%),-48.73117852737283,141.17893431931867,199.85823466276,80.68491503860282
Discharge Price Factor,107.97334769811951,112.38867468703988,135.90797625162642,72.74095530526124
Inflexible Loads Forecast Mean,38.39884765431315,116.20319662729086,203.35388215589157,87.41378051075493
Solar Power Forecast Mean,8.587000191923451,69.40241980106657,96.97340347317926,36.88467317438583
