,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,-44.91907862502384,95.54201814351056,128.4256588281408,53.93473777314242
Transformer Max Power (kW),12.767343753762116,36.479397432005086,71.45605746983259,38.49707021384024
EV Spawn Multiplier,2.2585738038595036,39.04443562540597,52.11935691592747,18.015244473706236
EV Charge Efficiency,23.178505346403085,40.634222019181564,59.00519681872139,30.290971173318546
EV Discharge Efficiency,-10.305350103123569,21.34715570261315,28.053815821024656,11.887846092151333
EV Desired Capacity (%),14.277214209455503,74.63821859726772,110.6483762038214,55.05562520944638
Discharge Price Factor,60.00396266643655,64.93367430489413,66.92455569059406,33.32991474827792
Inflexible Loads Forecast Mean,-42.633193994310524,60.70971430061938,100.11782574770785,53.07329303378901
Solar Power Forecast Mean,4.329581374675331,65.89648387013969,105.15407388758248,43.09999237971789
