,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,15.643696954752864,73.47116666964178,133.71675277664826,64.37856267600341
Transformer Max Power (kW),36.35574761299282,56.65034731978303,68.98760616482983,27.347026830343992
EV Spawn Multiplier,-3.0136167144308077,50.100430757058675,68.07286067340988,23.641651979721896
EV Charge Efficiency,27.18562166373769,79.06192531415766,111.72526987487251,51.78671826787691
EV Discharge Efficiency,33.10157313631022,47.94510081862371,50.90364980714846,18.953189113044807
EV Desired Capacity (%),26.52323733941676,48.764300169604944,84.06944100241256,40.15221958660546
Discharge Price Factor,117.1237178833546,117.1237178833546,91.03672831737653,50.2726111494914
Inflexible Loads Forecast Mean,-8.459856040069017,90.46871442961101,121.4495450554357,45.915839264840294
Solar Power Forecast Mean,-17.993475047128733,64.02473405401669,105.12831690443629,48.02471616646213
