,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,142.20991161250043,150.12536535139444,273.29764550952655,163.25609003313616
Transformer Max Power (kW),46.58121917520792,54.8713553734867,79.15238550659066,45.31928651358164
EV Spawn Multiplier,47.7900269018261,71.86226078513025,112.60807753198621,53.9101025238786
EV Charge Efficiency,103.6693475338648,119.3877862990084,222.81202668426894,121.72863129059208
EV Discharge Efficiency,17.051957731865805,40.68300914612624,60.38967487031454,32.83383309587687
EV Desired Capacity (%),-26.04084361016438,104.3106443876961,159.64505958083703,68.21886109483424
Discharge Price Factor,150.78444749169128,151.3835872902293,166.66637013778774,103.45012312338162
Inflexible Loads Forecast Mean,-21.80363126311628,116.58443915579907,171.90944002950258,78.35053215943785
Solar Power Forecast Mean,-61.92435908975172,65.84564881184085,131.17886381327133,72.20512766573685
