,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,-375.0429497508343,376.03384819510046,425.41867466477436,260.04900229110075
Transformer Max Power (kW),-173.851445118384,211.59283676976756,300.04145207928667,161.51427807435059
EV Spawn Multiplier,-113.525557890484,193.70103438286532,263.24738192062915,116.63657999408031
EV Charge Efficiency,106.80066658122,128.32407832362554,171.63290344225558,88.11119976714257
EV Discharge Efficiency,145.99059234446986,216.28882906231584,359.58988691644413,192.9758076905844
EV Desired Capacity (%),-4.028643433552398,151.41860210872574,246.11875864343128,103.54552483485233
Discharge Price Factor,117.78938777563965,166.6903074721476,218.707819696228,103.5262050523361
Inflexible Loads Forecast Mean,-32.48124681213654,211.32927893287393,290.9508637661138,109.25965224935854
Solar Power Forecast Mean,60.81387099205616,100.3887911150434,133.70927839102447,66.20458727971965
