,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,-168.09474063790753,263.00565497156236,265.1628233431287,100.19347469155349
Transformer Max Power (kW),-70.7854051437151,342.9208971945435,674.4242027109035,313.289353896226
EV Spawn Multiplier,-651.9680130846222,651.9680130846222,611.6521820893798,349.71964097607116
EV Charge Efficiency,23.491490295556854,80.4179177036293,106.68326818879194,38.39119624432216
EV Discharge Efficiency,55.269958949380225,195.14699647268725,371.1121950391851,203.59472492465355
EV Desired Capacity (%),-77.09018766250547,305.6742974421484,592.8052335708373,283.7813083239693
Discharge Price Factor,-78.42540716214057,187.7416603945052,237.25203233456958,95.01804542849275
Inflexible Loads Forecast Mean,-19.841685995045527,113.45409461123249,200.30641123162164,97.14882353612178
Solar Power Forecast Mean,-142.38960494506782,208.1465289716578,303.475604167298,152.05720718398337
