Configuration,total_ev_served,total_evs_spawned,total_profits,total_energy_charged,total_energy_discharged,average_user_satisfaction,power_tracker_violation,tracking_error,energy_tracking_error,energy_user_satisfaction,std_energy_user_satisfaction,min_energy_user_satisfaction,total_steps_min_emergency_battery_capacity_violation,transformer_overload_kwh,peak_transformer_loading_pct,average_transformer_loading_pct,battery_degradation,battery_degradation_calendar,battery_degradation_cycling,total_reward,action_mask,total_solver_time,average_solver_time_per_step,solver_timeouts,infeasible_steps,non_optimal_steps
MPC_Np5_Nc1,24.33 ± 0.47,24.33 ± 0.47,32.38 ± 27.11,211.78 ± 17.21,323.18 ± 19.11,0.40 ± 0.01,3.25 ± 2.23,374365.68 ± 62268.55,954.01 ± 49.52,40.07 ± 0.91,3.79 ± 0.25,31.81 ± 2.62,58.00 ± 5.89,63.74 ± 21.68,24.63 ± 2.20,-4.01 ± 1.28,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,4.69 ± 21.69,0.00 ± 0.00,15.78 ± 0.63,0.14 ± 0.01,0.00 ± 0.00,1.00 ± 1.41,0.00 ± 0.00
MPC_Np15_Nc5,21.67 ± 1.89,21.67 ± 1.89,22.03 ± 20.42,140.59 ± 24.55,328.62 ± 131.95,0.40 ± 0.01,2.12 ± 0.57,306864.27 ± 57342.19,851.40 ± 104.83,40.12 ± 0.92,4.60 ± 0.44,31.15 ± 0.97,46.67 ± 10.34,34.55 ± 46.68,16.86 ± 0.44,-6.78 ± 5.05,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,7.11 ± 11.96,0.00 ± 0.00,29.61 ± 3.41,0.26 ± 0.03,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np5_Nc5,24.67 ± 1.25,24.67 ± 1.25,39.25 ± 16.10,196.31 ± 8.92,356.77 ± 52.38,0.41 ± 0.01,1.55 ± 1.18,315287.04 ± 24534.46,910.60 ± 50.45,41.34 ± 0.53,3.87 ± 0.66,31.84 ± 2.29,67.67 ± 4.71,37.33 ± 26.45,22.19 ± 3.55,-5.81 ± 1.59,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,16.89 ± 12.73,0.00 ± 0.00,15.80 ± 0.69,0.14 ± 0.01,0.00 ± 0.00,1.33 ± 1.89,0.00 ± 0.00
MPC_Np10_Nc10,23.00 ± 0.82,23.00 ± 0.82,44.09 ± 23.08,150.82 ± 8.88,347.58 ± 66.95,0.41 ± 0.02,4.45 ± 1.09,316495.80 ± 67090.12,871.93 ± 72.58,40.57 ± 1.61,4.44 ± 0.85,32.15 ± 1.79,52.00 ± 4.08,63.35 ± 44.58,17.53 ± 4.10,-7.12 ± 2.61,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,24.50 ± 24.26,0.00 ± 0.00,26.44 ± 5.60,0.24 ± 0.05,0.00 ± 0.00,2.33 ± 2.05,0.00 ± 0.00
MPC_Np25_Nc10,23.00 ± 0.82,23.00 ± 0.82,72.70 ± 75.95,99.96 ± 20.92,317.30 ± 75.89,0.39 ± 0.01,2.18 ± 0.60,382299.66 ± 58551.31,931.39 ± 49.18,38.59 ± 0.83,4.57 ± 0.49,29.09 ± 0.95,33.67 ± 7.36,98.34 ± 46.16,11.60 ± 5.94,-7.86 ± 3.50,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,-96.57 ± 143.47,0.00 ± 0.00,44.13 ± 1.21,0.39 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax5_Nc1,24.00 ± 0.82,24.00 ± 0.82,18.88 ± 10.57,203.62 ± 26.32,291.45 ± 9.90,0.42 ± 0.00,2.24 ± 1.12,291351.80 ± 25311.22,870.76 ± 36.25,41.88 ± 0.13,4.70 ± 0.88,34.77 ± 2.59,59.33 ± 1.70,36.55 ± 35.11,28.05 ± 2.53,-3.17 ± 1.31,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,4.34 ± 14.37,0.00 ± 0.00,16.25 ± 1.00,0.15 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax15_Nc5,24.00 ± 0.82,24.00 ± 0.82,66.14 ± 50.65,137.34 ± 37.74,387.30 ± 10.07,0.41 ± 0.00,4.33 ± 2.80,301366.60 ± 33093.46,894.00 ± 27.50,41.17 ± 0.42,5.13 ± 0.21,31.49 ± 1.21,50.00 ± 15.12,0.09 ± 0.12,13.24 ± 10.26,-9.02 ± 1.71,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,41.76 ± 45.70,0.00 ± 0.00,155.32 ± 171.45,1.39 ± 1.53,2.33 ± 3.30,3.00 ± 4.24,0.00 ± 0.00
MPC_Adaptive_hmax5_Nc5,24.67 ± 1.70,24.67 ± 1.70,13.88 ± 4.80,183.74 ± 73.03,294.92 ± 39.65,0.41 ± 0.02,2.07 ± 0.97,339997.54 ± 94653.12,928.60 ± 120.30,41.42 ± 1.55,5.66 ± 2.58,31.62 ± 0.89,56.33 ± 21.79,16.63 ± 21.32,23.39 ± 3.23,-4.02 ± 1.22,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,-2.99 ± 1.84,0.00 ± 0.00,13.85 ± 1.94,0.12 ± 0.02,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax10_Nc10,25.67 ± 0.94,25.67 ± 0.94,18.92 ± 18.47,218.59 ± 29.57,342.64 ± 96.11,0.40 ± 0.00,4.12 ± 2.91,358588.15 ± 29237.79,964.63 ± 42.98,40.57 ± 0.19,3.66 ± 0.51,33.84 ± 2.37,67.00 ± 21.92,34.00 ± 45.81,27.52 ± 6.59,-4.47 ± 3.31,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,-3.52 ± 14.67,0.00 ± 0.00,25.35 ± 4.39,0.23 ± 0.04,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax25_Nc10,25.00 ± 0.82,25.00 ± 0.82,43.85 ± 12.45,115.21 ± 24.88,340.00 ± 18.40,0.40 ± 0.01,2.34 ± 0.73,377585.04 ± 17881.19,977.27 ± 25.63,39.61 ± 1.01,4.59 ± 0.59,30.27 ± 0.48,40.00 ± 6.48,94.34 ± 90.25,11.96 ± 2.48,-8.06 ± 1.33,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,-511.63 ± 750.01,0.00 ± 0.00,44.85 ± 8.07,0.40 ± 0.07,0.00 ± 0.00,1.33 ± 1.89,0.00 ± 0.00
