Configuration,total_ev_served,total_evs_spawned,total_profits,total_energy_charged,total_energy_discharged,average_user_satisfaction,power_tracker_violation,tracking_error,energy_tracking_error,energy_user_satisfaction,std_energy_user_satisfaction,min_energy_user_satisfaction,total_steps_min_emergency_battery_capacity_violation,transformer_overload_kwh,peak_transformer_loading_pct,average_transformer_loading_pct,battery_degradation,battery_degradation_calendar,battery_degradation_cycling,total_reward,action_mask,total_solver_time,average_solver_time_per_step,solver_timeouts,infeasible_steps,non_optimal_steps
MPC_Np5_Nc1,22.33 ± 0.47,22.33 ± 0.47,20.52 ± 13.42,203.40 ± 23.30,323.28 ± 66.43,0.41 ± 0.00,4.90 ± 5.24,302744.65 ± 9551.88,838.98 ± 29.29,41.13 ± 0.09,3.72 ± 0.13,34.20 ± 1.68,61.33 ± 9.88,0.00 ± 0.00,27.35 ± 6.54,-4.34 ± 3.20,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,-163.96 ± 236.96,0.00 ± 0.00,15.39 ± 1.52,0.14 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np15_Nc5,26.00 ± 0.82,26.00 ± 0.82,25.76 ± 10.55,154.30 ± 12.74,336.87 ± 13.90,0.41 ± 0.01,1.92 ± 0.37,388422.24 ± 16821.66,974.50 ± 35.04,41.06 ± 0.48,5.05 ± 0.96,30.39 ± 0.70,49.33 ± 8.99,0.00 ± 0.00,18.98 ± 3.33,-6.59 ± 0.58,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,-3.44 ± 5.24,0.00 ± 0.00,30.91 ± 1.18,0.28 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np5_Nc5,20.33 ± 1.89,20.33 ± 1.89,20.33 ± 11.96,171.72 ± 10.34,303.09 ± 34.38,0.40 ± 0.00,9.44 ± 8.71,278261.04 ± 25428.00,806.61 ± 57.97,39.82 ± 0.36,3.72 ± 0.51,31.82 ± 0.27,55.33 ± 6.55,0.00 ± 0.00,16.40 ± 5.59,-4.75 ± 1.34,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,7.34 ± 12.80,0.00 ± 0.00,13.32 ± 1.06,0.12 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np10_Nc10,22.67 ± 0.47,22.67 ± 0.47,25.49 ± 4.42,166.31 ± 27.26,322.64 ± 26.58,0.41 ± 0.00,10.89 ± 11.35,317775.17 ± 42222.52,858.63 ± 33.92,40.83 ± 0.22,4.08 ± 0.92,33.09 ± 3.07,53.67 ± 3.86,0.00 ± 0.00,13.79 ± 3.05,-5.66 ± 1.94,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,10.18 ± 5.68,0.00 ± 0.00,22.76 ± 1.44,0.20 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np25_Nc10,26.33 ± 1.25,26.33 ± 1.25,37.88 ± 12.05,105.07 ± 4.86,368.02 ± 35.89,0.39 ± 0.00,1.54 ± 1.21,431687.02 ± 22776.53,1041.65 ± 48.34,39.33 ± 0.06,4.66 ± 0.30,30.28 ± 0.24,35.00 ± 6.98,0.00 ± 0.00,11.13 ± 1.52,-9.49 ± 1.46,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,16.21 ± 15.10,0.00 ± 0.00,49.74 ± 6.74,0.44 ± 0.06,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax5_Nc1,24.00 ± 1.41,24.00 ± 1.41,25.06 ± 16.03,172.60 ± 38.72,419.13 ± 111.84,0.40 ± 0.01,11.43 ± 15.28,409047.21 ± 66534.76,964.22 ± 80.06,39.57 ± 0.75,4.27 ± 0.26,30.69 ± 1.20,61.00 ± 19.82,0.00 ± 0.00,18.31 ± 8.13,-8.91 ± 2.70,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,-4.72 ± 1.78,0.00 ± 0.00,14.81 ± 1.76,0.13 ± 0.02,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax15_Nc5,25.67 ± 0.47,25.67 ± 0.47,27.45 ± 12.91,156.40 ± 14.36,318.88 ± 19.70,0.40 ± 0.00,4.50 ± 4.15,425592.60 ± 38040.81,993.87 ± 33.81,40.18 ± 0.08,3.98 ± 0.99,33.69 ± 2.49,47.33 ± 4.50,0.00 ± 0.00,22.48 ± 5.77,-5.88 ± 0.26,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,8.73 ± 7.29,0.00 ± 0.00,31.53 ± 3.24,0.28 ± 0.03,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax5_Nc5,25.33 ± 1.25,25.33 ± 1.25,22.13 ± 6.79,218.90 ± 26.78,366.91 ± 35.82,0.41 ± 0.01,7.66 ± 4.66,396093.89 ± 48565.19,994.16 ± 63.02,40.71 ± 0.73,4.91 ± 0.56,30.09 ± 0.50,64.33 ± 3.09,0.00 ± 0.00,23.49 ± 5.15,-5.36 ± 2.14,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,-2.43 ± 3.66,0.00 ± 0.00,17.65 ± 1.67,0.16 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax10_Nc10,24.00 ± 0.82,24.00 ± 0.82,26.80 ± 9.53,188.48 ± 4.98,324.53 ± 62.51,0.41 ± 0.00,1.68 ± 0.35,313922.80 ± 41617.05,922.14 ± 44.57,41.09 ± 0.17,5.18 ± 0.82,32.64 ± 2.64,57.33 ± 5.73,0.00 ± 0.00,25.40 ± 2.67,-4.92 ± 2.26,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,6.52 ± 6.74,0.00 ± 0.00,33.19 ± 6.86,0.30 ± 0.06,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax25_Nc10,25.67 ± 2.05,25.67 ± 2.05,89.88 ± 51.25,89.98 ± 13.78,397.83 ± 50.39,0.40 ± 0.01,2.70 ± 0.77,377956.51 ± 47598.44,981.55 ± 79.26,39.96 ± 0.66,4.69 ± 0.86,29.79 ± 1.45,35.00 ± 4.90,0.00 ± 0.00,11.09 ± 2.31,-11.14 ± 2.08,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,53.12 ± 34.12,0.00 ± 0.00,54.53 ± 7.18,0.49 ± 0.06,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
