Configuration,total_ev_served,total_evs_spawned,total_profits,total_energy_charged,total_energy_discharged,average_user_satisfaction,power_tracker_violation,tracking_error,energy_tracking_error,energy_user_satisfaction,std_energy_user_satisfaction,min_energy_user_satisfaction,total_steps_min_emergency_battery_capacity_violation,transformer_overload_kwh,peak_transformer_loading_pct,average_transformer_loading_pct,battery_degradation,battery_degradation_calendar,battery_degradation_cycling,total_reward,action_mask,total_solver_time,average_solver_time_per_step,solver_timeouts,infeasible_steps,non_optimal_steps
MPC_Np5_Nc1,17.67 ± 3.30,17.67 ± 3.30,20.16 ± 10.21,130.37 ± 27.09,332.83 ± 87.58,0.44 ± 0.01,6.82 ± 4.87,200666.72 ± 47926.85,704.51 ± 122.66,39.59 ± 0.37,3.46 ± 0.54,32.20 ± 2.24,49.67 ± 15.15,0.00 ± 0.00,15.86 ± 3.29,-7.23 ± 2.18,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,6.92 ± 5.78,0.00 ± 0.00,10.40 ± 1.41,0.09 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np15_Nc5,17.00 ± 1.41,17.00 ± 1.41,19.90 ± 11.00,115.51 ± 42.08,212.65 ± 69.83,0.47 ± 0.02,2.52 ± 0.69,203941.82 ± 34291.39,646.34 ± 36.02,42.02 ± 1.95,7.09 ± 4.37,32.09 ± 2.21,34.00 ± 16.08,0.00 ± 0.00,19.04 ± 3.09,-3.47 ± 1.11,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,15.37 ± 12.28,0.00 ± 0.00,17.46 ± 1.31,0.16 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np5_Nc5,17.67 ± 1.25,17.67 ± 1.25,16.67 ± 7.23,168.12 ± 16.75,257.37 ± 24.21,0.45 ± 0.01,4.80 ± 1.90,198869.98 ± 23161.38,677.47 ± 25.47,40.78 ± 0.84,4.69 ± 0.70,30.48 ± 0.64,48.33 ± 2.87,0.00 ± 0.00,23.59 ± 2.28,-3.19 ± 1.18,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,6.91 ± 10.67,0.00 ± 0.00,9.90 ± 0.54,0.09 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np10_Nc10,17.33 ± 1.70,17.33 ± 1.70,37.71 ± 24.67,123.82 ± 37.40,241.41 ± 79.40,0.47 ± 0.01,6.44 ± 6.74,193795.55 ± 68141.51,628.10 ± 83.74,42.08 ± 0.84,4.68 ± 0.92,36.13 ± 0.64,41.67 ± 18.93,0.00 ± 0.00,20.89 ± 2.68,-4.20 ± 1.62,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,31.97 ± 28.04,0.00 ± 0.00,14.41 ± 1.82,0.13 ± 0.02,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np25_Nc10,17.00 ± 2.16,17.00 ± 2.16,14.78 ± 9.19,133.00 ± 18.19,260.94 ± 34.54,0.46 ± 0.01,3.23 ± 0.65,152590.13 ± 31041.32,609.56 ± 63.79,41.78 ± 1.19,5.01 ± 1.76,36.22 ± 0.69,45.67 ± 13.02,0.00 ± 0.00,20.37 ± 2.10,-4.57 ± 0.59,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,9.07 ± 10.20,0.00 ± 0.00,41.19 ± 24.42,0.37 ± 0.22,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax5_Nc1,19.33 ± 1.70,19.33 ± 1.70,40.75 ± 15.73,158.37 ± 18.21,391.00 ± 81.18,0.44 ± 0.00,2.04 ± 0.81,229791.47 ± 27497.99,757.44 ± 54.95,40.05 ± 0.13,3.76 ± 0.30,31.39 ± 1.32,58.67 ± 9.81,0.00 ± 0.00,11.81 ± 3.15,-8.31 ± 3.30,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,31.99 ± 14.14,0.00 ± 0.00,11.03 ± 1.90,0.10 ± 0.02,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax15_Nc5,18.00 ± 1.41,18.00 ± 1.41,14.61 ± 4.32,145.63 ± 17.70,261.24 ± 35.11,0.45 ± 0.01,1.76 ± 1.25,209368.01 ± 27315.94,677.16 ± 59.09,41.04 ± 0.92,3.49 ± 0.77,34.55 ± 2.12,43.00 ± 8.98,0.00 ± 0.00,22.75 ± 2.44,-4.13 ± 0.81,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,4.66 ± 6.53,0.00 ± 0.00,12.08 ± 0.48,0.11 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax5_Nc5,16.67 ± 2.62,16.67 ± 2.62,31.91 ± 9.72,143.69 ± 29.21,295.74 ± 75.88,0.45 ± 0.01,4.22 ± 3.70,173998.33 ± 53670.27,648.51 ± 95.67,40.45 ± 0.50,3.72 ± 1.57,33.53 ± 3.74,51.00 ± 10.03,0.00 ± 0.00,19.35 ± 4.19,-5.43 ± 2.14,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,22.97 ± 9.95,0.00 ± 0.00,8.36 ± 0.44,0.07 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax10_Nc10,21.00 ± 0.82,21.00 ± 0.82,20.75 ± 9.41,156.43 ± 10.67,358.00 ± 48.93,0.45 ± 0.01,1.31 ± 0.08,249682.69 ± 26384.28,801.89 ± 54.26,40.53 ± 0.92,4.22 ± 0.64,31.81 ± 2.39,55.67 ± 8.06,0.00 ± 0.00,19.92 ± 3.09,-7.20 ± 1.58,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,7.77 ± 8.93,0.00 ± 0.00,11.39 ± 0.90,0.10 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax25_Nc10,20.67 ± 0.47,20.67 ± 0.47,47.73 ± 37.49,174.72 ± 7.97,336.12 ± 51.93,0.46 ± 0.01,2.80 ± 1.95,248605.00 ± 20443.63,780.56 ± 25.34,41.05 ± 0.60,3.57 ± 0.70,33.56 ± 3.12,61.67 ± 11.32,0.00 ± 0.00,26.61 ± 0.53,-5.76 ± 1.97,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,31.25 ± 39.27,0.00 ± 0.00,19.82 ± 0.69,0.18 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
