Configuration,total_ev_served,total_evs_spawned,total_profits,total_energy_charged,total_energy_discharged,average_user_satisfaction,power_tracker_violation,tracking_error,energy_tracking_error,energy_user_satisfaction,std_energy_user_satisfaction,min_energy_user_satisfaction,total_steps_min_emergency_battery_capacity_violation,transformer_overload_kwh,peak_transformer_loading_pct,average_transformer_loading_pct,battery_degradation,battery_degradation_calendar,battery_degradation_cycling,total_reward,action_mask,total_solver_time,average_solver_time_per_step,solver_timeouts,infeasible_steps,non_optimal_steps
MPC_Np5_Nc1,18.33 ± 1.70,18.33 ± 1.70,49.04 ± 16.42,154.72 ± 15.66,265.24 ± 4.80,0.46 ± 0.01,0.72 ± 0.55,204162.35 ± 33626.06,686.36 ± 62.69,41.66 ± 0.68,4.63 ± 0.62,32.83 ± 2.77,46.67 ± 2.87,0.00 ± 0.00,22.47 ± 2.47,-3.95 ± 0.44,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,41.66 ± 17.45,0.00 ± 0.00,10.99 ± 0.66,0.10 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np15_Nc5,18.67 ± 1.25,18.67 ± 1.25,24.36 ± 6.51,163.92 ± 20.44,254.64 ± 23.87,0.46 ± 0.01,1.79 ± 0.67,206975.68 ± 48583.82,709.91 ± 62.73,41.10 ± 0.42,3.57 ± 0.91,32.74 ± 3.33,50.00 ± 2.16,0.00 ± 0.00,23.80 ± 2.06,-3.24 ± 1.44,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,15.59 ± 9.82,0.00 ± 0.00,20.38 ± 2.02,0.18 ± 0.02,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np5_Nc5,19.00 ± 0.82,19.00 ± 0.82,23.09 ± 9.16,161.90 ± 10.99,280.01 ± 6.90,0.46 ± 0.01,2.61 ± 0.82,216253.54 ± 38846.72,712.06 ± 64.66,41.16 ± 1.31,3.79 ± 0.19,34.82 ± 3.59,53.67 ± 3.09,0.00 ± 0.00,22.00 ± 1.95,-4.22 ± 0.52,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,18.11 ± 9.57,0.00 ± 0.00,12.19 ± 0.50,0.11 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np10_Nc10,19.67 ± 0.47,19.67 ± 0.47,32.46 ± 18.67,148.76 ± 5.52,339.48 ± 37.77,0.44 ± 0.01,2.39 ± 1.87,248732.29 ± 17228.50,764.97 ± 3.71,39.89 ± 0.37,4.33 ± 0.41,30.25 ± 0.40,55.67 ± 10.21,0.00 ± 0.00,21.71 ± 4.14,-6.81 ± 1.17,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,22.32 ± 20.95,0.00 ± 0.00,18.14 ± 2.11,0.16 ± 0.02,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np25_Nc10,21.33 ± 0.47,21.33 ± 0.47,44.13 ± 50.12,170.70 ± 10.83,328.73 ± 51.66,0.46 ± 0.01,10.58 ± 9.08,276683.39 ± 19581.09,795.58 ± 18.78,41.29 ± 1.19,3.39 ± 0.60,33.22 ± 2.31,58.67 ± 1.89,0.00 ± 0.00,26.92 ± 1.44,-5.64 ± 2.23,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,23.54 ± 33.22,0.00 ± 0.00,33.04 ± 6.92,0.29 ± 0.06,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax5_Nc1,17.00 ± 1.63,17.00 ± 1.63,21.99 ± 11.12,131.57 ± 10.73,279.91 ± 37.85,0.45 ± 0.01,1.53 ± 0.24,168626.09 ± 29526.88,631.71 ± 56.57,41.20 ± 0.77,4.95 ± 1.25,32.54 ± 2.37,40.67 ± 7.41,0.00 ± 0.00,18.85 ± 5.89,-5.30 ± 1.13,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,16.58 ± 9.28,0.00 ± 0.00,10.87 ± 1.01,0.10 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax15_Nc5,18.33 ± 1.25,18.33 ± 1.25,19.03 ± 14.01,168.11 ± 14.74,346.84 ± 20.52,0.44 ± 0.01,3.69 ± 2.21,228025.97 ± 4070.82,722.31 ± 36.57,39.86 ± 0.78,4.30 ± 0.71,31.11 ± 0.53,62.00 ± 10.03,0.00 ± 0.00,25.55 ± 0.58,-6.38 ± 0.85,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,13.38 ± 15.99,0.00 ± 0.00,25.49 ± 4.50,0.23 ± 0.04,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax5_Nc5,19.67 ± 1.25,19.67 ± 1.25,25.66 ± 15.83,136.76 ± 24.25,372.40 ± 119.17,0.45 ± 0.01,6.90 ± 6.54,237037.86 ± 48896.90,753.84 ± 78.16,40.48 ± 1.04,4.71 ± 1.71,33.57 ± 2.72,50.67 ± 10.66,0.00 ± 0.00,10.24 ± 1.11,-8.42 ± 4.26,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,12.84 ± 10.61,0.00 ± 0.00,10.76 ± 0.22,0.10 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax10_Nc10,14.33 ± 2.87,14.33 ± 2.87,18.90 ± 11.61,127.82 ± 37.04,197.78 ± 45.01,0.44 ± 0.01,3.72 ± 1.62,135083.30 ± 58593.83,570.42 ± 134.73,39.58 ± 0.74,3.56 ± 1.82,32.69 ± 2.70,40.33 ± 8.50,0.00 ± 0.00,18.16 ± 3.26,-2.50 ± 0.41,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,12.45 ± 6.43,0.00 ± 0.00,13.55 ± 1.65,0.12 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax25_Nc10,20.00 ± 3.27,20.00 ± 3.27,22.18 ± 11.55,167.19 ± 25.89,322.08 ± 97.55,0.46 ± 0.01,2.15 ± 1.53,226860.66 ± 52115.49,727.07 ± 112.07,42.11 ± 0.82,4.68 ± 1.14,32.99 ± 2.88,57.00 ± 10.20,0.00 ± 0.00,23.69 ± 3.68,-5.53 ± 2.61,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,13.12 ± 8.28,0.00 ± 0.00,44.47 ± 13.24,0.40 ± 0.12,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
