names,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,-295.8209511048061,341.3799351679435,276.81520093206393,127.40146996545509
Transformer Max Power (kW),-155.4442561114046,312.1589441006495,402.8005210474064,173.1305232246641
EV Spawn Multiplier,-334.33912497580593,424.81780006777615,381.89605615882175,162.4240542002079
EV Charge Efficiency,-129.75484370317105,169.78491652508836,261.92577763857986,117.3548744632452
EV Discharge Efficiency,-40.127316358824885,326.45038138070055,410.8964714717955,147.45410968315684
EV Desired Capacity (%),2.636562352608651,230.68315647244944,323.84245604719274,115.77685385985762
Discharge Price Factor,224.08838440629557,399.76610838971766,503.492675396984,195.34004429171125
Inflexible Loads Forecast Mean,82.92160002266752,149.05889203329667,158.3042046390772,45.20703706002726
Solar Power Forecast Mean,-43.44936952398045,319.23220272168294,475.2754340940935,196.33498840447928
