,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,-317.7005305651041,317.7005305651041,141.7602260636197,86.16980571800116
Transformer Max Power (kW),19.37117220222185,153.89730473026316,257.58871380781204,120.20909909988305
EV Spawn Multiplier,-254.6501062480701,254.6501062480701,224.15354795915755,132.04934295308936
EV Charge Efficiency,31.96773274622914,163.05318729046434,275.1129218384303,118.86523531883667
EV Discharge Efficiency,60.172678063640284,415.77918266171264,593.81740625281,250.96000586862257
EV Desired Capacity (%),167.94716980517336,380.87803603959037,521.7451578095935,232.9579477469211
Discharge Price Factor,1.8466427236741083,233.85312095114494,358.72832997751067,148.94644480134133
Inflexible Loads Forecast Mean,138.7760874625285,374.5364216720697,602.7543548422665,282.5280704601744
Solar Power Forecast Mean,62.462726623337076,249.65424700622802,422.44033945912776,192.78890537803838
