Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_evs_spawned_mean,total_profits_mean,total_energy_charged_mean,total_energy_discharged_mean,average_user_satisfaction_mean,power_tracker_violation_mean,tracking_error_mean,energy_tracking_error_mean,energy_user_satisfaction_mean,std_energy_user_satisfaction_mean,min_energy_user_satisfaction_mean,total_steps_min_emergency_battery_capacity_violation_mean,transformer_overload_kwh_mean,peak_transformer_loading_pct_mean,average_transformer_loading_pct_mean,battery_degradation_mean,battery_degradation_calendar_mean,battery_degradation_cycling_mean,total_reward_mean,action_mask_mean,execution_time_mean,v2g_time_percentage_mean,average_v2g_power_mean,calendar_degradation_mean,cyclic_degradation_mean,profit_per_ev_mean
DDPG,Transformer Max Power (kW),25,25.0,25.0,43.91961177881044,167.46300768635882,374.6775,0.456505295658596,0.0,302082.7882574633,926.3881822662928,43.39255793380598,38.85753421465773,12.987012987012985,12.0,0.9535025150801637,80.38072003904861,-29.87139104886244,0.005327593180633774,0.0005345472398140223,0.004793045940819752,-15847.642545758388,0.0,0.13059639930725098,68.40796019900498,2.724927272727273,2.1321310794089837e-05,0.00019304706126257646,1.7567844711524176
SAC,Transformer Max Power (kW),25,25.0,25.0,13.108660019447882,353.34540200865604,436.940202931195,0.5496946434356303,16.93302338890695,268300.8760614658,811.2350025696444,50.65901782724696,32.78273368215894,15.432098765432102,9.0,8.60820718936912,118.29661257421145,-12.050764211169897,0.007671602045781788,0.0007664553182439168,0.00690514672753787,-204.54696947543934,0.0,0.11981344223022461,56.21890547263681,3.8667274595680974,3.0547764991071294e-05,0.00027538259533304974,0.5243464007779153
TD3,Transformer Max Power (kW),25,25.0,25.0,-33.889371569290134,590.4386555991348,445.106572761088,0.6753967870235807,0.23940061792391942,124526.25648067577,573.9613074235671,66.82907981494414,37.88749028505264,15.432098765432102,13.0,81.65817075396495,264.0037684235181,20.950617063163662,0.009213746758926375,0.0009108199331256795,0.008302926825800696,-6102.327075725829,0.0,0.11853218078613281,42.28855721393035,5.236547914836329,3.653817318668788e-05,0.00033417934987879205,-1.3555748627716053
AFAP,Transformer Max Power (kW),25,25.0,25.0,-139.96573697754482,648.0850944056498,0.0,1.0,947.82327184793,120547.70110728794,545.000231470967,99.99514242878563,0.018067204944304832,99.91304347826087,0.0,456.4427740988889,520.1408434212549,93.42591375620523,0.008100693574451015,0.0015292573787491998,0.006571436195701816,-44674.9282047393,0.0,0.04167985916137695,0.0,0.0,6.144605535039924e-05,0.00026535007515575166,-5.598629479101793
ALAP,Transformer Max Power (kW),25,25.0,25.0,-89.28734466384567,372.0707719126967,0.0,0.883585271392084,364.43628276386795,125199.72620173584,529.321059421889,81.3329498411022,11.792254668762252,57.64578833693306,0.0,260.56196022082133,400.9348318890189,53.63655505732501,0.0030556746887867156,0.0008618480194145362,0.0021938266693721795,-15102.939564251685,0.0,0.04729914665222168,0.0,0.0,3.502764226637076e-05,8.720503123801221e-05,-3.5714937865538268
RR,Transformer Max Power (kW),25,25.0,25.0,-68.61404575010964,317.0792037164814,0.0,0.8338885589147838,0.0,68040.35782265641,402.0944862361704,77.69678912700165,18.310367483491405,43.14782608695652,0.0,133.15027644215672,174.684850264543,45.709143129529096,0.0032913960590427198,0.0010485677104804375,0.0022428283485622824,-11604.815626692978,0.0,0.0420527458190918,0.0,0.0,4.2206793880502964e-05,9.006972479666872e-05,-2.7445618300043857
Online_MPC_NonAdaptive,Transformer Max Power (kW),25,25.0,25.0,50.129366130983236,219.22529160271202,468.7725000000001,0.44712521622933904,1.3341591077478339,356953.71731297555,969.3879779038139,40.299070069303305,3.440925103079451,30.55844155844156,93.0,2.934984580391327,80.6932698024571,-35.97394257494523,0.0038967612042563947,0.00045046573438984304,0.0034462954698665513,-18047.02595706782,0.0,21.545214414596558,23.6318407960199,9.868894736842106,1.7975470376243926e-05,0.0001378519210587156,2.0051746452393293
Online_MPC_Adaptive,Transformer Max Power (kW),25,25.0,25.0,50.129366130983236,219.22529160271202,468.7725000000001,0.44712521622933904,1.3341591077478339,356953.71731297555,969.3879779038139,40.299070069303305,3.440925103079451,30.55844155844156,93.0,2.934984580391327,80.6932698024571,-35.97394257494523,0.0038967612042563947,0.00045046573438984304,0.0034462954698665513,-18047.02595706782,0.0,19.582342863082886,23.6318407960199,9.868894736842106,1.7975470376243926e-05,0.0001378519210587156,2.0051746452393293
DDPG,Transformer Max Power (kW),50,25.0,25.0,43.91961177881044,167.46300768635882,374.6775,0.456505295658596,0.0,302082.7882574633,926.3881822662928,43.39255793380598,38.85753421465773,12.987012987012985,12.0,0.0,40.190360019524306,-14.93569552443122,0.005327593180633774,0.0005345472398140223,0.004793045940819752,-5033.40983551725,0.0,0.1234128475189209,68.40796019900498,2.724927272727273,2.1321310794089837e-05,0.00019304706126257646,1.7567844711524176
SAC,Transformer Max Power (kW),50,25.0,25.0,1.3364836661493094,337.0732117506932,358.0559177341201,0.6044503927492793,0.0,217862.33765359526,740.1563959360789,54.80399345025389,35.25529163574809,15.432098765432102,8.0,0.0,53.93259793323624,-1.512400529267881,0.006992326261118488,0.0007664037301114973,0.006225922531006991,-4.625481271760819,0.0,0.1585674285888672,53.60696517412935,3.3230247585533186,3.065870088328283e-05,0.00024925621329421026,0.05345934664597238
TD3,Transformer Max Power (kW),50,25.0,25.0,-27.468158628865915,486.0550605804392,378.4450922780891,0.6415363340175942,31.42949276180247,163142.8140021247,627.2784680312033,63.855401927785806,39.37524278994722,15.432098765432102,11.0,0.0,72.04959981092297,7.756357694928412,0.00796578017580765,0.0009212507118835767,0.0070445294639240735,-28.994186469227394,0.0,0.10170507431030273,42.28855721393035,4.452295203271636,3.6865808974270785e-05,0.0002846018862258547,-1.0987263451546365
AFAP,Transformer Max Power (kW),50,25.0,25.0,-139.96573697754482,648.0850944056498,0.0,1.0,947.82327184793,120547.70110728794,545.000231470967,99.99514242878563,0.018067204944304832,99.91304347826087,0.0,287.1215000209068,260.07042171062744,46.71295687810262,0.008100693574451015,0.0015292573787491998,0.006571436195701816,-22678.736194432317,0.0,0.04527783393859863,0.0,0.0,6.144605535039924e-05,0.00026535007515575166,-5.598629479101793
ALAP,Transformer Max Power (kW),50,25.0,25.0,-89.28734466384567,372.0707719126967,0.0,0.883585271392084,364.43628276386795,125199.72620173584,529.321059421889,81.3329498411022,11.792254668762252,57.64578833693306,0.0,112.79032952985824,200.46741594450944,26.818277528662506,0.0030556746887867156,0.0008618480194145362,0.0021938266693721795,-2917.0093448708412,0.0,0.03811812400817871,0.0,0.0,3.502764226637076e-05,8.720503123801221e-05,-3.5714937865538268
RR,Transformer Max Power (kW),50,25.0,25.0,-68.61404575010964,317.0792037164814,0.0,0.8338885589147838,0.0,68040.35782265641,402.0944862361704,77.69678912700165,18.310367483491405,43.14782608695652,0.0,1.1775347036342527,87.3424251322715,22.854571564764548,0.0032913960590427198,0.0010485677104804375,0.0022428283485622824,-94.628984920294,0.0,0.04036450386047363,0.0,0.0,4.2206793880502964e-05,9.006972479666872e-05,-2.7445618300043857
Online_MPC_NonAdaptive,Transformer Max Power (kW),50,25.0,25.0,50.252196952718336,221.37966960576702,470.4103106159494,0.44731672468408856,1.3214289500043912,358909.94257417496,968.8650454378363,40.3278279631849,3.3231989755040705,31.25974025974026,94.0,0.0,51.899922377887044,-17.949737920609536,0.00391592517055182,0.0004509430699652268,0.0034649821005865934,-12340.988092903875,0.0,18.339415073394775,23.756218905472636,9.85152482965339,1.7994550529724622e-05,0.0001385904929618021,2.0100878781087332
Online_MPC_Adaptive,Transformer Max Power (kW),50,25.0,25.0,50.252196952718336,221.37966960576702,470.4103106159494,0.44731672468408856,1.3214289500043912,358909.94257417496,968.8650454378363,40.3278279631849,3.3231989755040705,31.25974025974026,94.0,0.0,51.899922377887044,-17.949737920609536,0.00391592517055182,0.0004509430699652268,0.0034649821005865934,-12340.988092903875,0.0,20.816264390945435,23.756218905472636,9.85152482965339,1.7994550529724622e-05,0.0001385904929618021,2.0100878781087332
DDPG,Transformer Max Power (kW),100,25.0,25.0,43.91961177881044,167.46300768635882,374.6775,0.456505295658596,0.0,302082.7882574633,926.3881822662928,43.39255793380598,38.85753421465773,12.987012987012985,12.0,0.0,20.095180009762153,-7.46784776221561,0.005327593180633774,0.0005345472398140223,0.004793045940819752,21.33567208122458,0.0,0.15170621871948242,68.40796019900498,2.724927272727273,2.1321310794089837e-05,0.00019304706126257646,1.7567844711524176
