,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,63.0644958419479,80.55821981442493,97.68371102060512,48.78588835430385
Transformer Max Power (kW),-11.73129544651365,58.66902811569914,105.50089923183998,53.14863362846413
EV Spawn Multiplier,-51.3824057807134,72.84423448760985,140.76030761431684,74.7641871884106
EV Charge Efficiency,26.637113401328996,111.61536232647411,170.43827531116088,78.23271231232728
EV Discharge Efficiency,-6.460292440526169,35.1469418515867,43.40705664669884,14.330803851572872
EV Desired Capacity (%),-86.5556269089621,100.47686029574871,111.78512771939093,56.16709881249492
Discharge Price Factor,130.63532271875715,130.63532271875715,107.31826399920776,69.52145388434667
Inflexible Loads Forecast Mean,-12.94958727659134,48.577811759293596,57.64937018266993,15.416989597598933
Solar Power Forecast Mean,94.28221906876509,96.69523123653956,123.15720282066985,74.58793706424197
