,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,3.837960003174986,32.1555241787092,44.81934110693147,16.977414399797095
Transformer Max Power (kW),-9.546307689472627,48.612276600366776,88.20896235301551,42.335617860532345
EV Spawn Multiplier,5.887890001152885,23.66319699278848,29.154947081707075,9.231950369078138
EV Charge Efficiency,-17.88030426450813,29.47874370772771,47.12084386806379,20.568130594575045
EV Discharge Efficiency,-19.79258323447362,28.1238319377303,34.2805438730106,18.113327905846454
EV Desired Capacity (%),-0.43220935042302033,27.94661569404122,39.67939862046797,16.50368052108367
Discharge Price Factor,125.21273674641384,125.21273674641384,131.27942561063477,75.90810966093402
Inflexible Loads Forecast Mean,-26.137092477145767,61.51585592992493,106.90636345619168,51.87894375942666
Solar Power Forecast Mean,-7.65972128948751,31.638420515434422,44.35365933706859,16.853341055712516
