Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_evs_spawned_mean,total_evs_spawned_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
AFAP,EV Desired Capacity (%),0.6,16.0,0.0,16.0,0.0,-98.6953790347602,0.0,464.67299778112334,0.0,0.0,0.0,1.0,0.0,643.1303946214376,0.0,61677.66935543796,0.0,368.077344041621,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.2028706277353756,0.0,103.17647115693744,0.0,16.595464206468687,0.0,0.005380781954359334,0.0,0.0009551547777394808,0.0,0.004425627176619852,0.0,-90.83786435547302,0.0,0.0,0.0,0.033887624740600586,0.0,6.0016677824146525e-05,0.0,0.00027940089732436104,0.0,-6.168461189672512,0.0
ALAP,EV Desired Capacity (%),0.6,16.0,0.0,16.0,0.0,-55.74511486058628,0.0,249.53542286274165,0.0,0.0,0.0,1.0,0.0,311.2271314305753,0.0,85570.29307100765,0.0,417.2632873645714,0.0,77.54081549970567,0.0,14.493132759047201,0.0,61.419753086419746,0.0,0.0,0.0,0.0,0.0,92.84999999999997,0.0,8.911979387955059,0.0,0.0021974015555746205,0.0,0.00046551839222826316,0.0,0.0017318831633463573,0.0,-55.74511486058627,0.0,0.0,0.0,0.048604488372802734,0.0,2.968143302658526e-05,0.0,0.00010659499673146276,0.0,-3.4840696787866423,0.0
RR,EV Desired Capacity (%),0.6,16.0,0.0,16.0,0.0,-44.35094039018081,0.0,212.90012308846192,0.0,0.0,0.0,0.9401978058882403,0.0,0.0,0.0,42032.09612467276,0.0,298.28502142356353,0.0,74.16935519184733,0.0,22.133326031290853,0.0,44.078125,0.0,0.0,0.0,0.0,0.0,36.36000000000001,0.0,7.603575824587925,0.0,0.0020839653006791536,0.0,0.000590803707270342,0.0,0.001493161593408812,0.0,-44.031308237380934,0.0,0.0,0.0,0.028146982192993164,0.0,3.720590172674897e-05,0.0,9.30820850827328e-05,0.0,-2.7719337743863006,0.0
SAC,EV Desired Capacity (%),0.6,16.0,0.0,16.0,0.0,-39.16320895826955,0.0,326.11219210254836,0.0,142.32515097129522,0.0,0.7906512459566338,0.0,121.72877853691284,0.0,71402.71710205376,0.0,388.2624926492289,0.0,70.20009361139697,0.0,35.03210532480838,0.0,16.867283950617285,0.0,3.0,0.0,0.0,0.0,43.94409264483005,0.0,6.563822897544753,0.0,0.00424392294064911,0.0,0.000526568488505577,0.0,0.0037173544521435327,0.0,-37.95437142984964,0.0,0.0,0.0,0.12381458282470703,0.0,3.317000934608109e-05,0.0,0.00023258231636473682,0.0,-2.447700559891847,0.0
DDPG,EV Desired Capacity (%),0.6,16.0,0.0,16.0,0.0,-7.790778922749376,0.0,193.0373532080447,0.0,153.3025,0.0,0.6035873546179107,0.0,0.0,0.0,99245.64913521492,0.0,471.4502913039808,0.0,53.71524127707465,0.0,40.85339427561788,0.0,15.432098765432102,0.0,4.0,0.0,0.0,0.0,22.379999999999974,0.0,1.4191019002873078,0.0,0.003446914595219127,0.0,0.000461539351162816,0.0,0.0029853752440563114,0.0,-9.605828110012725,0.0,0.0,0.0,0.11057639122009277,0.0,2.8869995491329114e-05,0.0,0.00018844021404186757,0.0,-0.486923682671836,0.0
DDPG+PER,EV Desired Capacity (%),0.6,16.0,0.0,16.0,0.0,6.354255055452843,0.0,157.83012856409016,0.0,179.395,0.0,0.5553225571362503,0.0,0.0,0.0,116524.80545837987,0.0,532.7500159479353,0.0,48.31935342817502,0.0,40.072516834805256,0.0,15.432098765432102,0.0,5.0,0.0,0.0,0.0,35.76445939385063,0.0,-0.7701739798539242,0.0,0.0032063239487036214,0.0,0.0003660206350548873,0.0,0.0028403033136487335,0.0,2.2803122826017073,0.0,0.0,0.0,0.11138606071472168,0.0,2.286560109209206e-05,0.0,0.0001775358593265338,0.0,0.3971409409658027,0.0
TQC,EV Desired Capacity (%),0.6,16.0,0.0,16.0,0.0,36.76872362979342,0.0,148.12116137278207,0.0,339.39121677788285,0.0,0.45132671115251,0.0,109.09591488690101,0.0,275304.20353399613,0.0,757.0031573605769,0.0,29.563206064212327,0.0,21.04066427908682,0.0,15.432098765432102,0.0,9.0,0.0,0.0,0.0,60.60781337792874,0.0,-6.83107340732503,0.0,0.003102215049188475,0.0,0.00013004440002244556,0.0,0.0029721706491660296,0.0,42.09454919881652,0.0,0.0,0.0,0.10893034934997559,0.0,8.08300917184528e-06,0.0,0.00018600689882026781,0.0,2.298045226862089,0.0
Online_MPC_NonAdaptive,EV Desired Capacity (%),0.6,16.0,0.0,16.0,0.0,5.056938558766942,0.0,38.14236600410629,0.0,54.050000000000004,0.0,0.6940597410231035,0.0,0.0,0.0,115262.53298737899,0.0,527.0927785079192,0.0,50.00225036458134,0.0,27.664202648930097,0.0,15.432098765432102,0.0,1.0,0.0,0.0,0.0,12.159546102313742,0.0,-0.5681297855676325,0.0,0.0011261810698992888,0.0,0.0003999515027402958,0.0,0.000726229567158993,0.0,3.1403444625913637,0.0,0.0,0.0,7.83292031288147,0.0,2.4982485280704732e-05,0.0,4.535709095434007e-05,0.0,0.31605865992293386,0.0
Online_MPC_Adaptive,EV Desired Capacity (%),0.6,16.0,0.0,16.0,0.0,16.38725864848461,0.0,28.400265272266754,0.0,101.465,0.0,0.6492653854222459,0.0,0.0,0.0,145452.05103854256,0.0,584.2498792397588,0.0,43.856731629947866,0.0,24.655721476805688,0.0,15.432098765432102,0.0,2.0,0.0,0.0,0.0,9.606703852722735,0.0,-2.609454811704759,0.0,0.001357028342423797,0.0,0.00033629133581679273,0.0,0.0010207370066070043,0.0,14.068072194785131,0.0,0.0,0.0,11.939360618591309,0.0,2.094072054039685e-05,0.0,6.384844945589099e-05,0.0,1.0242036655302882,0.0
AFAP,EV Desired Capacity (%),0.75,16.0,0.0,16.0,0.0,-98.6953790347602,0.0,464.67299778112334,0.0,0.0,0.0,1.0,0.0,643.1303946214376,0.0,61677.66935543796,0.0,368.077344041621,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.2028706277353756,0.0,103.17647115693744,0.0,16.595464206468687,0.0,0.005380781954359334,0.0,0.0009551547777394808,0.0,0.004425627176619852,0.0,-90.83786435547302,0.0,0.0,0.0,0.03682255744934082,0.0,6.0016677824146525e-05,0.0,0.00027940089732436104,0.0,-6.168461189672512,0.0
