,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,-130.4836723953085,145.6130085881328,131.8195228538115,71.04198825544044
Transformer Max Power (kW),16.52538720544744,93.99676294733285,139.03809140573094,58.7612469561709
EV Spawn Multiplier,-67.7151213213027,85.59989580129033,119.11740689527117,66.40034398287115
EV Charge Efficiency,25.1539188056409,132.77160259003924,222.45066260175147,104.59646103067854
EV Discharge Efficiency,90.06113490371536,97.97762477658135,136.68395167600937,74.30654883859016
EV Desired Capacity (%),52.44000615083856,148.05793915557416,189.06477366370157,69.11806999099912
Discharge Price Factor,77.8265658228436,123.38348223906596,161.71129169384395,76.56889584399433
Inflexible Loads Forecast Mean,15.387911288129615,68.64978338484687,91.0223804813112,36.60620626623919
Solar Power Forecast Mean,-24.147508612292288,92.29553869069579,137.38243162434574,57.27382882839519
