names,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,14.764864709661813,135.71598066752784,208.52422478579217,84.9935635160278
Transformer Max Power (kW),-32.64277142663777,68.10387884089602,104.86268431118788,45.06821275444534
EV Spawn Multiplier,-9.431955912854471,109.99860424153476,137.28874246256171,39.61302975698336
EV Charge Efficiency,45.78238243194623,55.417469527498476,87.91240765684367,51.12542113064983
EV Discharge Efficiency,-26.33335394008062,47.16041898016137,70.38190130431593,30.504565364470785
EV Desired Capacity (%),-25.118236680960145,80.17309030162973,128.06421351928623,54.0897992679169
Discharge Price Factor,134.25693933549263,134.25693933549263,131.28839690604457,80.9716403224219
Inflexible Loads Forecast Mean,10.233441879500143,57.648561292152124,80.6947712513197,30.437876813560923
Solar Power Forecast Mean,4.177534986855781,43.765268918055526,70.17630167988074,32.10329102106087
