names,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,10.602538734335452,21.678760676432802,36.54880001156979,18.92039960596534
Transformer Max Power (kW),-19.958737978001302,19.958737978001302,38.195651185090355,24.88302701954671
EV Spawn Multiplier,-9.14898560212723,9.14898560212723,19.819417737705084,11.672659213458019
EV Charge Efficiency,-13.63714172407902,13.63714172407902,43.12442862260519,22.093048559446004
EV Discharge Efficiency,0.0,0.0,0.0,0.0
EV Desired Capacity (%),2.4747397702046974,9.649740475243496,23.33535238689939,11.196175281566399
Discharge Price Factor,1.568436573425696,1.568436573425696,4.95983193753512,3.1049752405527147
Inflexible Loads Forecast Mean,-1.4936103480278398,6.195471224803814,14.938496353523215,7.926922249095185
Solar Power Forecast Mean,9.70476069269192,9.70476069269192,21.073560297923294,13.072677312893315
