names,mu,mu_star,sigma,mu_star_conf
Number of Charging Stations,-343.20872673046495,404.808145900714,613.2416336750632,340.0892375350896
Transformer Max Power (kW),219.40545371970293,291.5854679653743,611.7598552019496,312.2408313772292
EV Spawn Multiplier,-341.2936792698737,371.691397661022,404.5209380084665,196.4648893306985
EV Charge Efficiency,-117.25245505614225,260.9412733566829,370.0275737874385,173.6985972526541
EV Discharge Efficiency,254.21947087929752,288.8832208235271,338.171030499128,175.95677307309103
EV Desired Capacity (%),86.43700411402048,297.2002521217283,462.17489305919327,213.08492837320705
Discharge Price Factor,52.51903800317693,263.4421454646701,402.2669146437377,171.82399813388815
Inflexible Loads Forecast Mean,-44.47487511172746,246.608938310959,346.1229996980513,136.89989744589988
Solar Power Forecast Mean,275.1741150852839,385.39259483306034,465.90161437062017,212.67631590503458
