Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_evs_spawned_mean,total_profits_mean,total_energy_charged_mean,total_energy_discharged_mean,average_user_satisfaction_mean,power_tracker_violation_mean,tracking_error_mean,energy_tracking_error_mean,energy_user_satisfaction_mean,std_energy_user_satisfaction_mean,min_energy_user_satisfaction_mean,total_steps_min_emergency_battery_capacity_violation_mean,transformer_overload_kwh_mean,peak_transformer_loading_pct_mean,average_transformer_loading_pct_mean,battery_degradation_mean,battery_degradation_calendar_mean,battery_degradation_cycling_mean,total_reward_mean,action_mask_mean,execution_time_mean,v2g_time_percentage_mean,average_v2g_power_mean,calendar_degradation_mean,cyclic_degradation_mean,profit_per_ev_mean
DDPG,Transformer Max Power (kW),25,25.0,25.0,38.44773710292376,219.85638920086413,416.745,0.40970653715936356,0.0,326063.0046571854,916.0623007517879,43.49734480867821,38.78258159887077,12.987012987012985,14.0,23.999579169269943,79.4849654402237,-28.38284436856009,0.005807958911589343,0.0004630128094420349,0.0053449461021473086,-21670.733185359863,0.0,0.09483504295349121,72.01492537313433,2.8790673575129535,1.849222743258868e-05,0.0002158956253935837,1.5379094841169505
SAC,Transformer Max Power (kW),25,25.0,25.0,34.471776338677834,220.71084266891543,420.95241757564617,0.43159093901669143,9.362529873353907,372418.12296786456,924.0965297960598,43.83978225864361,37.148363256789,12.987012987012985,12.0,3.111708919620364,79.54822376668803,-28.86619715393944,0.005855948410869786,0.000569908226700714,0.005286040184169071,-11901.690883166708,0.0,0.1062629222869873,64.92537313432835,3.2256890235681697,2.270207668506169e-05,0.00021174467183846944,1.3788710535471134
TQC,Transformer Max Power (kW),25,25.0,25.0,-0.6002198362218811,462.8050596940981,483.2948917998688,0.5560280445964194,15.459395100815605,256383.52661390364,747.3932196088302,54.606778877056094,35.72506311827321,15.432098765432102,16.0,144.12690506046795,297.392324947845,-2.9537499067902946,0.00792127777860792,0.0007496193796799345,0.007171658398927987,-22584.606487901907,0.0,0.0950169563293457,52.48756218905473,4.580994235069847,2.996686686079329e-05,0.0002871663210895871,-0.024008793448875246
AFAP,Transformer Max Power (kW),25,25.0,25.0,-139.96573697754482,648.0850944056498,0.0,0.9982252623688156,947.82327184793,120547.70110728794,545.000231470967,99.99514242878563,0.018067204944304832,99.91304347826087,0.0,548.9835918600962,520.1408434212549,93.42591375620523,0.008100693574451015,0.0015292573787491998,0.006571436195701816,-40254.78286915209,0.0,0.033646345138549805,0.0,0.0,6.144605535039924e-05,0.00026535007515575166,-5.598629479101793
ALAP,Transformer Max Power (kW),25,25.0,25.0,-89.28734466384567,372.0707719126967,0.0,0.8144901789417812,364.43628276386795,125199.72620173584,529.321059421889,81.3329498411022,11.792254668762252,57.64578833693306,0.0,309.15636941395644,400.9348318890189,53.63655505732501,0.0030556746887867156,0.0008618480194145362,0.0021938266693721795,-13345.582599626981,0.0,0.047692298889160156,0.0,0.0,3.502764226637076e-05,8.720503123801221e-05,-3.5714937865538268
RR,Transformer Max Power (kW),25,25.0,25.0,-68.61404575010964,317.0792037164814,0.0,0.7828492450491674,0.0,68040.35782265641,402.0944862361704,77.69678912700165,18.310367483491405,43.14782608695652,0.0,225.04149644378504,174.684850264543,45.709143129529096,0.0032913960590427198,0.0010485677104804375,0.0022428283485622824,-8099.107229968346,0.0,0.03888416290283203,0.0,0.0,4.2206793880502964e-05,9.006972479666872e-05,-2.7445618300043857
Online_MPC_NonAdaptive,Transformer Max Power (kW),25,25.0,25.0,50.38130722501744,196.87584024086993,446.415,0.4019200804878078,1.3214289500043912,358785.6612255395,969.3735641867838,40.31557221736624,3.5364696020800026,31.25974025974026,84.0,14.528754817215269,75.7247626145462,-35.972782308522056,0.00367308159785477,0.00044935342911960367,0.0032237281687351664,-21768.312879917885,0.0,12.335703134536743,22.512437810945272,9.865524861878454,1.7932802520946565e-05,0.00012893568966521193,2.0152522890006974
Online_MPC_Adaptive,Transformer Max Power (kW),25,25.0,25.0,50.38130722501744,196.87584024086993,446.415,0.4019200804878078,1.3214289500043912,358785.6612255395,969.3735641867838,40.31557221736624,3.5364696020800026,31.25974025974026,84.0,14.528754817215269,75.7247626145462,-35.972782308522056,0.00367308159785477,0.00044935342911960367,0.0032237281687351664,-21768.312879917885,0.0,11.913643598556519,22.512437810945272,9.865524861878454,1.7932802520946565e-05,0.00012893568966521193,2.0152522890006974
DDPG,Transformer Max Power (kW),50,25.0,25.0,38.44773710292376,219.85638920086413,416.745,0.40970653715936356,0.0,326063.0046571854,916.0623007517879,43.49734480867821,38.78258159887077,12.987012987012985,14.0,10.924880915190535,39.74248272011185,-14.191422184280045,0.005807958911589343,0.0004630128094420349,0.0053449461021473086,-11218.147713167413,0.0,0.09943795204162598,72.01492537313433,2.8790673575129535,1.849222743258868e-05,0.0002158956253935837,1.5379094841169505
SAC,Transformer Max Power (kW),50,25.0,25.0,30.50460517806614,235.36176498945085,416.4963738127659,0.4422707960419017,2.711869408645912,348121.93601568264,901.6642334802895,45.05554892196708,35.82931647513158,12.987012987012985,12.0,5.893571370310015,94.16449285418949,-13.05589843700274,0.006088560146054703,0.0005875029581062102,0.005501057187948492,-6131.141060160453,0.0,0.12456393241882324,64.30348258706468,3.2224090817235274,2.341187246974595e-05,0.0002202703017128127,1.2201842071226456
